,document_index,sentence_index,sentence,label,preprocessed_sentence,pos_sentence
0,1009,1,그래서 알아보니 회 듣기 네이버뮤직무료이용권이 있어요.ㅎ 회도 보니깐 있네요.,1,그래서 알아보니 회 듣기 네이버뮤직무료이용권이 있어요.ㅎ 회도 보니깐 있네요.,그래서 알아보 니 회 듣 기 네이버 뮤직 무료 이용 권 이 있어요.ㅎ 회 도 보 니깐 있 네요 .
1,1283,2,LGU의 인공지능 스피커Clova Frineds 입니다.,0,LGU의 인공지능 스피커Clova Frineds 입니다.,LGU 의 인공지능 스피커 Clova Frineds 이 ㅂ니다 .
2,1265,12,또한 G의 MRGBW 디스플레이는 이전 LCD들보다 배터리를 약 가량 덜 소모한다고 합니다.,1,또한 G의 MRGBW 디스플레이는 이전 LCD들보다 배터리를 약 가량 덜 소모한다고 합니다.,또한 G 의 MRGBW 디스플레이 는 이전 LCD 들 보다 배터리 를 약 가량 덜 소모 하 ㄴ다고 하 ㅂ니다 .
3,1194,9,이건 제쪽에서 버버벅 저희도 이기능 저기능 인제 익히는 중인데어째껀 날씨정보.,0,이건 제쪽에서 버버벅 저희도 이기능 저기능 인제 익히는 중인데어째껀 날씨정보.,이건 제 쪽 에서 버버벅 저희 도 이 기능 저 기능 인제 익히 는 중인 데어 째 껀 날씨 정보 .
4,3268,54,세계적인 브랜드로 키우기 위해 년 동안 마케팅 비용에 억원 넘게 투자했다.,0,세계적인 브랜드로 키우기 위해 년 동안 마케팅 비용에 억원 넘게 투자했다.,세계 적 이 ㄴ 브랜드 로 키우 기 위하 아 년 동안 마케팅 비용 에 억 원 넘 게 투자 하 았 다 .
5,612,15,방금 이종석 나온 영화가 뭐지?,0,방금 이종석 나온 영화가 뭐지?,방금 이종석 나오 ㄴ 영화 가 뭐 지 ?
6,1034,14,사실 안챙기면 현지나 대형쇼핑몰에서 사입는 것도 나름 재미가 있다.수영복을 새로 살 시기가 되긴했는데 아직 시즌이 아닌데다가 시간이 없어서 그냥 챙겨왔다.,0,사실 안챙기면 현지나 대형쇼핑몰에서 사입는 것도 나름 재미가 있다.수영복을 새로 살 시기가 되긴했는데 아직 시즌이 아닌데다가 시간이 없어서 그냥 챙겨왔다.,사실 안 챙기 면 현지 나 대형 쇼핑몰 에서 사입 는 것 도 나름 재미 가 있 다 . 수영복 을 새로 살 시 기가 되 기 ㄴ 하 았 는데 아직 시즌 이 아니 ㄴ데다가 시간 이 없 어서 그냥 챙기 어 오 았 다 .
7,2214,19,아이가 인강 보는 걸 옆에서 한번 지켜본 적이 있는데 시스템이 특이하더라구요!,1,아이가 인강 보는 걸 옆에서 한번 지켜본 적이 있는데 시스템이 특이하더라구요!,아이 가 인 강 보 는 걸 ㄹ 옆 에서 한 번 지켜보 ㄴ 적 이 있 는데 시스템 이 특이 하 더라구요 !
8,1085,10,여기에 삼성이 밀고 있는 빅스비 기능도 탑재를 하고 있어 메인 콘텐츠와 기능으로 활용되는 부분을 플래그십뿐만 아니라 갤럭시 A 에도 동일하게 탑재를 하고 있어 다양하고 꼭 필요한 기능에 대해선 부족함이 없도록 하고 있습니다.,1,여기에 삼성이 밀고 있는 빅스비 기능도 탑재를 하고 있어 메인 콘텐츠와 기능으로 활용되는 부분을 플래그십뿐만 아니라 갤럭시 A 에도 동일하게 탑재를 하고 있어 다양하고 꼭 필요한 기능에 대해선 부족함이 없도록 하고 있습니다.,여기 에 삼성 이 밀 고 있 는 빅스 비 기능 도 탑재 를 하 고 있 어 메인 콘텐츠 와 기능 으로 활용 되 는 부분 을 플래그 십 뿐 만 아니 라 갤럭시 A 에도 동일 하 게 탑재 를 하 고 있 어 다양 하 고 꼭 필요 하 ㄴ 기능 에 대하 아서 ㄴ 부족 하 ㅁ 이 없 도록 하 고 있 습니다 .
9,3091,54,공통적으로 요금제에 들어가는 건 유플러스티비 개 채널과 넷플릭스 전용 콘텐츠 그리고 VIP전용관 여편이에요.,0,공통적으로 요금제에 들어가는 건 유플러스티비 개 채널과 넷플릭스 전용 콘텐츠 그리고 VIP전용관 여편이에요.,공통 적 으로 요금 제 에 들어가 는 건 유 플러스 티비 개 채널 과 넷플릭스 전용 콘텐츠 그리고 VIP 전용관 여 편 이 에요 .
10,1735,5,인물 국가 장르 연도 화질 가격 최신 관객 등 중 복합조건으로 콘텐츠를 검색하는 것은 업계 최초라는 설명이다.,1,인물 국가 장르 연도 화질 가격 최신 관객 등 중 복합조건으로 콘텐츠를 검색하는 것은 업계 최초라는 설명이다.,인물 국가 장르 연도 화질 가격 최신 관객 등 중 복합 조건 으로 콘텐츠 를 검색 하 는 것 은 업계 최초 이 라는 설명 이 다 .
11,3334,39,롤러블 올레드 TV와 K TV는 하반기 국내 먼저 출시 한편 LG전자는 롤러블 올레드 TV R과 K 올레드 TV Z 그리고 K 슈퍼 울트라HD TV SM 등을 하반기 국내 시장부터 출시할 예정이라고 밝혔다.,0,롤러블 올레드 TV와 K TV는 하반기 국내 먼저 출시 한편 LG전자는 롤러블 올레드 TV R과 K 올레드 TV Z 그리고 K 슈퍼 울트라HD TV SM 등을 하반기 국내 시장부터 출시할 예정이라고 밝혔다.,롤 러브 ㄹ 올 레드 TV 와 K TV 는 하반기 국내 먼저 출시 한편 LG전자 는 롤 러브 ㄹ 올 레드 TV R 과 K 올 레드 TV Z 그리고 K 슈퍼 울 트 라 HD TV SM 등 을 하반기 국내 시장 부터 출시 하 ㄹ 예정 이 라고 밝히 었 다 .
12,680,0,안녕하세요.,0,안녕하세요.,안녕하세요 .
13,3383,1,저 또한 그랬던 적이 있습니다 심지어는 대출 부결에 주변에 손 내밀어봐도 해결이 안돼서 심적으로 힘들고 불안했던 적이 있어서 참 마음이 불편하고 힘들었던 적이 있었죠 저 또한 이런 시기가있었지 때문에 여러분들은 맘 고생하지 마시고!!!!!,-1,저 또한 그랬던 적이 있습니다 심지어는 대출 부결에 주변에 손 내밀어봐도 해결이 안돼서 심적으로 힘들고 불안했던 적이 있어서 참 마음이 불편하고 힘들었던 적이 있었죠 저 또한 이런 시기가있었지 때문에 여러분들은 맘 고생하지 마시고!!!!!,저 또한 그렇 었 던 적 이 있 습니다 심지어 는 대출 부결 에 주변 에 손 내밀 어 보 아도 해결 이 안 되 어서 심 적 으로 힘들 고 불안 하 았 던 적 이 있 어서 참 마음 이 불편 하 고 힘들 었 던 적 이 있 었 죠 저 또한 이런 시기 가 있 었 지 때문 에 여러분 들 은 맘 고생 하 지 마시 고 ! !! !!
14,2874,1,뭐니 뭐니 해도 차산업관련한 주식이 빠질 수 없죠.,0,뭐니 뭐니 해도 차산업관련한 주식이 빠질 수 없죠.,뭐 이 니 뭐 이 니 하 아도 차 산업 관련 하 ㄴ 주식 이 빠지 ㄹ 수 없 죠 .
15,315,0,네이버 인공지능스피커 프렌즈 후기한줄요약 괜찮은 스피커 하나 샀네요본전은 뽑는 기분!,1,네이버 인공지능스피커 프렌즈 후기한줄요약 괜찮은 스피커 하나 샀네요본전은 뽑는 기분!,네이버 인공지능 스피커 프렌즈 후기 하 ㄴ 줄 요약 괜찮 은 스피커 하나 사 았 네요 보 ㄴ 전 은 뽑 는 기분 !
16,1376,20,대기업관인 C홀은 이정도였습니다여러분도 직접 가보셔서 경험해 보시면 더 좋으리라 생각됩니다!,1,대기업관인 C홀은 이정도였습니다여러분도 직접 가보셔서 경험해 보시면 더 좋으리라 생각됩니다!,대기업 관인 C 홀 은 이 정도 이 었 습니다 여러분 도 직접 가 아 보 시 어서 경험 하 아 보 시 면 더 좋 으리라 생각 되 ㅂ니다 !
17,3298,38,연동어플로 설정하면 바로 된다고 해서 주식종목추천받기도 더 편해졌습니다.,1,연동어플로 설정하면 바로 된다고 해서 주식종목추천받기도 더 편해졌습니다.,연동 어 플로 설정 하 면 바로 되 ㄴ다고 하 아서 주식 종목 추천 받 기 도 더 편하 아 지 었 습니다 .
