,title,publisher,date,url
0,독거어르신 친구가 된 'SKT 누구',아시아경제,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004453802
1,"[종합] SKT, 연내 '누구' AI 플랫폼 확산…시즌 2.0 연다",아이뉴스24언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489458
2,"SKT, '월드 IT쇼 2019'서 혁신적 5G 선보인다",오피니언뉴스,6일 전,http://www.opinionnews.co.kr/news/articleView.html?idxno=16622
3,"KT와 SKT, 월드 IT쇼 현장서 5G '맞대결'(현장)",미디어SR,5일 전,http://www.mediasr.co.kr/news/articleView.html?idxno=52340
4,"[WIS 2019] 체험 위주의 SKT와 자율주행의 KT, 5G 맞나?",동아일보,4일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=020&aid=0003213174
5,"""라이벌은 누구냐""는 질문 들은 '갓' 페이커가 망설임 없이 뽑은 선수",인사이트,3일 전,https://www.insight.co.kr/news/224631
6,"""보이는 AI 스피커가 떴다""…SKT, '누구 네모' 출시",뉴시스,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009180782
7,"SKT, 화면 달린 AI 스피커 '누구 네모' 출시",블로터언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000023954
8,"박정호 SKT 사장 ""'누구 AI'로 사회안전망 구축""",아이뉴스24,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489798
9,"SKT, 지자체·사회적 기업과 'ICT 돌봄 서비스' 시행",뉴시스,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009187155
10,"SKT-KT, WIS 2019서 5G 기술력 뽐낸다",ZDNet Korea,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160552
11,[영상/주리를 틀어라] ‘전국AI자랑’ 시즌2 - SKT ’누구‘ vs KT ’기가지니‘ vs 카카오 미니,아주경제,4일 전,http://www.ajunews.com/view/20190425105034694
12,SKT-KT-퀄컴이 만드는 본격적인 5G 세상은 어떨까,키뉴스,4일 전,http://www.kinews.net/news/articleView.html?idxno=209645
13,[솔로이코노미 동향] 티몬 개인화 쇼핑 서비스 포유·쿠첸 나 혼자 잘산다·SKT ICT 돌봄 서비스 外,데일리팝,5일 전,http://www.dailypop.kr/news/articleView.html?idxno=38843
14,"SKT, '월드 IT쇼'에 'AR 앵그리버드' 등 5G 서비스 전시",한국무역신문,6일 전,http://jedam15.koreafree.co.kr/news/view.html?section=1&category=5&item=&no=52047
15,"SKT, '월드 IT쇼 2019'서 혁신적 5G 선보여",로봇신문,5일 전,http://www.irobotnews.com/news/articleView.html?idxno=17000
16,"SKT, 독거 어르신 돌봄·일자리 확대 등 사회적 가치 창출 본격 나선다",비지니스코리아,7일 전,http://www.businesskorea.co.kr/news/articleView.html?idxno=31130
17,"""VR로 로봇타고 시가전""…SKT, '월드IT쇼 2019'에서 5G 혁신",아시아경제,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=277&aid=0004454495
18,"SKT, 독거 어르신 'ICT 돌봄'…'ICT케어센터' 도입",아이뉴스24,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489722
19,"SKT·KT, 5G 혁신기술로 '월드IT쇼' 사로잡다",데일리한국,5일 전,http://daily.hankooki.com/lpage/ittech/201904/dh20190424110312138250.htm
20,"'귀로 듣고 눈으로 보는 AI 스피커'…SKT, 누구 네모 출시",뉴스토마토,2019.04.18.,http://www.newstomato.com/ReadNews.aspx?no=889809
21,"SKT, '독거 어르신 ICT돌봄 서비스' 시범사업 시행",로봇신문,6일 전,http://www.irobotnews.com/news/articleView.html?idxno=16992
22,"SKT, 사회적 취약계층 대상 ICT 연계 복지 서비스 제공",뉴스웨이,7일 전,http://www.newsway.co.kr/news/view?tp=1&ud=2019042209504689694
23,"“노인이 행복한 나라”…SKT, ‘독거노인’ 돌봄 서비스 시행",FETV,7일 전,http://www.fetv.co.kr/news/article.html?no=26658
24,"SKT, 지자체·사회적 기업과 'ICT 돌봄 서비스' 시행",한국경제,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004128887
25,"SKT, 독거 어르신 대상 ‘ICT 돌봄 서비스’ 시범 사업 시행",보안뉴스,6일 전,http://www.boannews.com/media/view.asp?idx=78918&kind=
26,"SKT, 사회적 가치 창출 '앞장'… 'ICT 돌봄 서비스' 관심 집중",뉴데일리,7일 전,http://biz.newdaily.co.kr/site/data/html/2019/04/22/2019042200014.html
27,"[월드IT쇼 2019] '5G 시대가 궁금해?'…SKT·KT, 5G 기술 한 눈에 둘러보기",비즈트리뷴,5일 전,http://www.biztribune.co.kr/news/articleView.html?idxno=209769
