,company,section,title,publish_datetime,final_datetime,text,url
0,ZDNet Korea,IT,삼성도 곧 참전…치열한 ‘AI 스피커’ 거실쟁탈전,2019-04-25 17:40:00,2019-04-25 17:40:00,아마존과 구글이 이끌어…국내에선 통신사 주도  지디넷코리아권혜미 기자스마트폰 다음은 스마트홈이다. 최근 IT 기업들이 인공지능 AI 스피커 시장에 앞다퉈 진출하고 있다. AI 스피커를 앞세워 사용자 집안으로 들어가기 위함이다. 미국 시장조사기관 가트너에 따르면 전세계 AI 스피커 시장은 오는 2020년에 21억 달러 약 2조 3천400억원 규모로 성장할 전망이다. 그만큼 올해 치열한 경쟁이 예고된다. 음성비서 알렉사를 탑재한 스마트스피커 아마존 에코 시리즈. 지원 언어와 출시 지역이 영어와 일부 유럽 지역이었는데 2017년 10월 인도에 이어 11월 중순 일본 출시를 통해 아시  AI 스피커 스마트폰과 뭐가 다를까 안드로이드 스마트폰 구글 어시스턴트와 구글 홈 구글 어시스턴트는 다를까. 아이폰 시리와 홈팟 시리는 같을까. AI 스피커는 스마트폰 음성 비서 기능과 별반 차이가 없다. 그렇다면 왜 AI 스피커가 스마트홈 핵심 기기로 주목받을까. ‘터치’에 이어 ‘음성’이 인터넷을 이용하는 새로운 방식이 될 것이라는 전망 때문이다. 음성인식 기술을 구현하는 데 있어 핵심인 소리나 음성을 주고받는 데 가장 필요한 것은 마이크와 스피커다. 상시로 음성 데이터를 녹음하고 클라우드 서버에 저장해 학습하기 위해서는 스마트폰보다 스피커 형식이 더 효율적이다. 이렇게 음성 인터페이스 플랫폼을 선점하면 스마트홈 시장을 선점하기 쉬워진다. 스마트홈은 집 안 가전제품을 비롯해 조명이나 스위치 콘센트 등 모든 장치를 통신에 연결해 원격 제어할 수 있는 집을 말한다. 여기서 AI 스피커가 중심축 역할을 하게 되는 것이다. 메리츠종금증권 정지수 연구원은 “음성인식 스피커 시장에는 선점하면 그 이후 막대한 이점을 안고 사업을 진행할 수 있는 시장선점우위가 존재한다”며 “더 많은 데이터를 수집하고 더 다양한 제휴 업체들과 손을 잡아 생태계를 먼저 구축하는 사업자일수록 유리한 시장”이라고 설명했다.  아마존과 구글이 주도하는 AI 스피커 시장 스마트폰의 시작이 애플이라면 AI 스피커의 시작은 아마존이다. 현재 시장을 이끄는 것도 아마존이다. 아마존은 2014년 알렉사를 탑재한 에코를 첫 출시했다. 지난해 12월 아마존 발표에 따르면 알렉사와 호환되는 스마트홈 기기는 2만8천개가 넘는다. 구글 홈 미니  사진씨넷 구글은 2016년 구글 어시스턴트 기반의 AI 스피커 구글 홈을 발표했다. 구글은 지난해 9월 한국어 서비스를 지원하는 구글 홈을 국내 출시하기도 했다. 구글 어시스턴트와 연동 가능한 스마트홈 기기는 1만개 이상이다. 출시 시기는 점유율에 영향을 준다. AI 스피커 시장 점유율 선두는 아마존이다. 시장조사업체 이마케터에 따르면 2018년 미국 AI 스피커 시장 점유율 1위는 아마존으로 67에 달한다. 2위는 점유율 30 수준을 차지한 구글이다. 이마케터는 아마존이 2020년까지 미국 시장 점유율 1위를 유지할 것이라 내다봤다.  국내는 통신사 가전사 포털업체 진출 국내 AI 스피커 시장은 통신사 가전사 포털 업체들이 진출한 상태로 아직 뚜렷한 1위 사업자는 없다. 한국어를 중심으로 실행되는 국내 음성비서는 국내 시장을 선점하는 데 주력하고 있다. 국내 AI 스피커 시장에는 통신사 가전사 포털 업체가 진출했다.  사진KT경제경영연구소 특히 통신사업자가 주도적이다. SK텔레콤은 2016년 9월 음성인식 스피커 ‘누구’를 국내 최초로 출시했다. KT는 2017년 1월 ‘기가지니’를 선보였다. 여기에 인터넷 기업 네이버와 카카오도 각각 ‘프렌즈’와 ‘카카오 미니’를 내놓았다. 이른 시일 내에 삼성전자도 첫 AI 스피커 ‘갤럭시 홈’을 출시할 것으로 예측된다. 삼성전자 미국 홈페이지에는 갤럭시 홈 이미지에 ‘커밍 순’이라는 문구가 걸렸다. 갤럭시 홈 이미지에 apos커밍 순apos이라는 문구가 걸렸다.  사진삼성전자 홈페이지 갈무리 KT그룹 디지털 미디어렙 나스미디어가 펴낸 ‘2019 디지털 미디어마케팅 전망’ 보고서에 따르면 올해 국내 AI 스피커 보급 대수는 800만대에 달할 것으로 예측된다. 10가구 중 4가구는 AI 스피커를 보유하게 되는 셈이다.  ‘이것은 스피커인가 TV인가’ 스마트 디스플레이 등장 AI 스피커에 디스플레이를 탑재한 제품도 나온다. 이른바 스마트 디스플레이다. 터치스크린을 통해 동영상 시청이나 웹 브라우징 영상 통화 등이 가능하다. 아마존은 2017년 알렉사 기반 스마트 디스플레이 ‘에코 쇼’를 출시했다. 페이스북도 알렉사가 연동된 스마트 디스플레이 ‘포털’을 공개한 바 있다. 지난해 구글과 레노버 JBL LG전자 등이 구글 어시스턴트를 탑재한 스마트 디스플레이를 선보였다. 오는 29일 SK텔레콤도 ‘누구 네모’를 출시할 예정이다. 누구 네모는 기존 ‘누구’에 7인치 디스플레이를 탑재한 제품이다. 누구 네모는 디스플레이를 통해 영상 콘텐츠를 즐길 수 있으며 실시간 환율정보 증권정보 운세 등을 확인할 수 있다. SK텔레콤이 디스플레이를 탑재한 AI 스피커 ‘누구 네모’를 18일 공개했다. 사진SK텔레콤 LG유플러스도 화면 달린 AI 스피커 aposUAI 어벤져스apos 출시를 앞두고 있다. aposUAI 어벤져스apos는 마블과 협업한 AI 스피커로 네이버의 음성인식 비서 apos클로바apos를 품었다.  “AI 스피커 말귀부터 잘…” AI 스피커는 디스플레이 탑재나 음질 개선 등을 통해 다양한 모습으로 진화 중이다. 하지만 아직 갈 길이 멀다는 지적도 나온다. AI 스피커의 본질이라 할 수 있는 음성인식 소프트웨어 개발에 더욱 투자해야 한다는 것이다. 실제로 AI 스피커 사용자는 음성인식에 가장 많은 불만을 품었다. 2017년 한국소비자원 조사에 따르면 AI 사용 중 소비자 불편 사항으로 ‘음성인식 미흡’ 56.7이 가장 많았고 ‘연결형 대화 곤란’ 45.7 ‘외부소음을 음성명령으로 오인’ 37.0 등을 꼽았다. 한국소비자원 측은 “음성인식 스피커는 첨단기술이 적용된 인공지능 가전제품으로 광고되지만 음성인식이 미흡하거나 음성명령을 오인하는 등 불편이 있는 것으로 나타났다”며 “지속적인 품질개선이 필요한 상황”이라고 전했다. 이어 “인공지능에 대한 명확한 정의가 정립되지 않았고 현행 법률의 유사한 개념 지능 정보기술을 적용하더라도 국내 업체의 ‘인공지능’의 표시·광고가 타당한지에 대한 검토가 필요하다”라고 강조했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160871
1,블로터,IT,"네이버-LGU+, 장애인 위한 AI 접근성 서비스 확대",2019-04-25 17:40:00,,주변인들 도움 없이 택시를 부를 수 있게 돼 좋다 LG유플러스가 지난 3월 내놓은 장애인 콜택시 호출 서비스를 두고 나오는 반응이다. 이 서비스는 인공지능 AI 스피커를 통해 음성명령으로 장애인 콜택시를 쉽게 부를 수 있도록 돕는다. LG유플러스는 AI와 IoT를 통해 일상생활에 불편을 겪는 장애인의 접근성을 높여주는 행복한 나라 프로젝트를 본격 추진한다고 밝혔다. LG유플러스는 4월17일 네이버와 함께 서울시청 시민청에서 서울시설공단에 AI 스피커를 기증하는 전달식을 개최했다. 지체장애인 300명에게 네이버 AI 플랫폼 클로바가 탑재된 스피커와 음악 서비스 바이브 1년 이용권을 전달했다. 이를 통해 장애인 콜택시를 이용하는 지체 장애인들이 AI 스피커로 쉽게 택시를 호출할 수 있을 것으로 기대된다. LG유플러스는 네이버와 함께 AI 서비스 분야에서 장애인들이 쉽게 정보에 접근할 수 있도록 노력하고 있다. 양사는 지난해 5월과 9월 두 차례에 걸쳐 AI 스피커 800여대와 음원 서비스 이용권을 기부한 바 있다. 또 AI 스피커를 활용한 각종 접근성 서비스를 내놓고 있다. 지난해 음성으로 도서 콘텐츠를 AI 스피커로 편리하게 이용할 수 있는 ’소리세상’ ‘책 읽어주는 도서관’을 선보였으며 올해 투아트와 함께 스마트폰 카메라로 인식한 정보를 음성으로 알려주는 시각장애인 전용 음성안내 앱 ‘설리번’ 등을 선보여 시각장애인의 정보 접근성을 높였다.  음성 안내 앱 설리번 시연 지난 3월 AI 스피커를 통한 ‘장애인 콜택시’ ‘교통약자용 지하철 정보’ 서비스를 출시해 이동에 큰 어려움을 겪고 있는 지체장애인의 불편을 덜어줄 수 있도록 했다. 이용자는 “클로바 장애인 콜택시 불러줘”라고 AI 스피커에 말하면 간단히 콜택시를 호출할 수 있다. 미리 등록한 목적지 최근 목적지 중 원하는 메뉴를 말해 목적지를 선택하면 콜택시가 접수된다. 이와 함께 콜택시 대기자 수를 안내해주고 미세먼지 정보도 알려준다. 배차가 완료된 경우 택시 도착 예정 시간도 확인할 수 있다. 엘리베이터 위치 및 작동 여부 장애인 화장실 위치 전동휠체어 급속 충전기 위치 정보 등 지하철 역사 내 교통약자 편의시설 정보도 음성으로 확인할 수 있다. LG유플러스는 5월 중 응급상황이나 화재 발생 시 AI 스피커를 통해 음성으로 119를 호출하면 문자로 전달되는 ‘119 문자 신고’ 서비스를 추가로 선보일 예정이다. LG유플러스는 100여명에 걸친 인터뷰와 설문을 통해 장애인 전용 AI 서비스를 만들었다고 밝혔다. 이날 행사에 참석한 뇌병변 1급 장애 아동 보호자는 장애인 콜택시를 자주 쓰는데 기존에 전화나 앱으로 호출하는 것보다 편리할 것 같다라며 특히 아기 기저귀를 갈 때 콜택시 호출을 쉽게 할 수 있어 도움이 많이 될 것 같다라고 말했다. 류창수 LG유플러스 스마트홈상품그룹 상무는 장애인이 행복한 나라를 만들기 위해 실생활에 도움이 되는 생활 편의와 안전 관련 서비스를 지속적으로 제공해 나갈 계획이라고 말했다. 정석근 네이버 서치앤클로바 CIC 리더는 네이버의 기술 철학은 정보와 사람을 연결하고 더 많은 사용자에게 기술의 편리함을 제공하고자 하는 것에 있다라며 음성 기술 자체가 몸이 불편한 사람들에게 텍스트의 대안이 될 수 있는 것처럼 네이버가 연구·개발한 기술들이 사회적 약자를 포함한 다양한 사용자들에게 도움이 될 수 있도록 지속해서 노력해갈 것이라고 말했다. 서울시설공단 복지경제본부 민병찬 본부장은 이번 행사를 통해 장애인과 같은 사회적 약자들도 정보에 더 쉽게 접근할 수 있게 되어 기쁘다라며 앞으로도 다양한 분야의 기업들과 협력하는 의미 있는 자리가 지속되길 바란다라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000023949
2,디지털타임스,경제,AI 찾아 나선 금융권… 네이버와 밀착,2019-04-25 17:40:00,2019-04-25 17:40:00,금융서비스 공동개발 차원 네이버 최적화된 기술 보유 해외기업 보안취약 탓 피해 우리銀·KB금융 잇단 러브콜 금융에 인공지능 AI을 달아라 금융권이 금융서비스와 AI 기술 접목에 열을 올리고 있다.  특히 국내 기술기업 네이버가 국내 금융사들의 최대 파트너로 부상하는 모습이다. 한국어 특화 AI 기술력을 보유하고 있는데다가 해외기업 AI와의 협업은 국외 정보 유출 문제로 카카오는 인터넷전문은행 카카오뱅크를 보유한 영향인 것으로 풀이된다.  22일 업계에 따르면 KEB하나은행과 대형 보험사 등이 네이버의 AI 기술을 활용하기 위해 물밑 접촉하고 있는 것으로 알려졌다.  앞서 우리은행과 KB금융그룹은 각각 네이버가 보유한 AI 기술을 활용해 금융 서비스를 공동으로 개발하는 업무협약을 체결했다. 장기적으로 금융과 AI기술을 접목해 새로운 서비스를 내놓겠다는 계획이다. 첫 스타트를 끊은 우리은행은 오는 5월 네이버와 AI 공동 Lab을 출범할 계획이다. 우리은행의 AI 인력과 네이버 사내독립조직 서치앤클로바 인력이 각각 모인다. 우리은행은 네이버 AI 플랫폼 클로바의 챗봇 자연어 처리 OCR 광학 문자 판독기 기술 등을 활용할 계획이다. 기존 우리은행의 챗봇 서비스 등을 업그레이드 하는 방향으로 우선 협업한다. 데이터가 쌓이면 향후엔 음성텍스트 변환 등을 활용해 우리은행의 다양한 서비스에 접목할 계획이다. 상반기나 하반기 초쯤 가시적인 협업 서비스가 나올 것으로 전망된다고 우리은행 관계자는 말했다.  KB금융지주는 음성 위주의 금융 전용 AI분석 엔진을 개발할 계획이다. AI스피커·자동차 등에서 날씨 등 일상정보를 음성으로 전달하는 AI엔진과 혼용되지 않으면서도 디바이스를 불문하고 사용할 수 있는 금융거래 AI엔진 개발이 목표다. KB금융 내 클라우드 기반 협업 조직인 클래온이 네이버와 협업 중이다. 네이버가 AI플랫폼을 기초로 하되 KB금융 전문가가 금융데이터를 학습시키는 방식으로 협업할 계획이라고 KB금융 관계자는 말했다.  금융권에 따르면 이들은 네이버의 AI가 챗봇·음성 분야에서 한국어 학습이 잘 되어 있다고 판단했다. 구글도 한국어 AI 음성 기술 등을 보유하고 있지만 국외 금융 정보 유출 등의 리스크를 안고 있고 카카오는 경쟁사로 꼽을 수 있는 인터넷전문은행 카카오뱅크를 보유해 기술 개발 협업 파트너로는 적합하지 않다고 판단한 것으로 풀이된다. 또 IT기업에 비해 상대적으로 인력이 부족한 탓에 23년 전 수준인 금융권의 기술을 업그레이드 하는 가장 빠른 방법으로 판단한 것으로 보인다. 반면 네이버는 챗봇·STT 음성인식 등의 기술을 B2B 비즈니스 시장에 제공해 부가적인 수익을 꾀할 수 있다. 이 때문에 네이버를 협업 파트너로 삼으려는 움직임이 늘고 있는 것으로 알려졌다. 금융권 관계자는 기술을 검증해본 결과 네이버의 AI기술이 성능이 좋았고 네이버 측도 협업에 대해 적극적이어서 속도감 있게  서비스 개발을진행할 수 있겠다고 내부적으로 판단했다고 귀띔했다. 네이버 관계자는 특정 기업을 대상으로 솔루션을 만들고 단순 판매하기보다는 파트너 기업들과 협력하며 해당 산업군에 최적화되고 밀접한 기술을 제공해 최종적으로 사용자들에게 유익하고 새로운 경험을 제공하는 것을 목표로 한다며 금융 뿐 아니라 교육 방송 헬스케어 등 다양한 산업 분야로 확대해 나갈 계획이라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002522441
3,이데일리,IT,"네이버, AI 스피커 클로바 활용한 아동 콘텐츠 확대",2019-04-25 17:40:00,,네이버 제공 이데일리 한광범 기자 네이버 035420가 인공지능 AI 플랫폼 클로바 탑재 스피커를 통한 학령기 아동 대상 콘텐츠를 강화한다고 19일 밝혔다.  네이버는 NHN에듀가 운영하는 초중고 모바일 알림장 서비스 ‘아이엠스쿨’과 제휴를 통해 AI 스피커를 통해 알림장 확인 서비스를 시작했다. 아이엠스쿨에서 구독 중인 학급 알림장이 있는 경우 클로바가 탑재된 스마트스피커 이용자들은 클로바 앱 ‘설정’ 메뉴에서 아이엠스쿨 계정을 연동해 ‘클로바오늘  아이 이름 알림장 알려줘’와 같은 명령어를 통해 자녀의 알림장 정보를 확인할 수 있다. 클로바앱 ‘키즈’ 설정을 통해 다수 자녀를 등록하면 아이 별로 따로 알림장 정보를 확인할 수 있다. 알림장 알람 기능을 설정해 매일 특정 시간에 알림장을 음성으로 전달받는 것도 가능하다. 네이버는 이번 기능이 지난 3월부터 제공해 온 ‘급식 정보’와 같이 아이의 학교 생활에 대한 접근성을 한층 높여 이용자들로부터 많은 호응을 얻을 것으로 기대한다고 밝혔다. 네이버는 향후에도 클로바를 통해 접할 수 있는 학령기 아동들을 위한 다양한 콘텐츠를 추가한다는 방침이다.  현재 제공하고 있는 약 2500개의 동요와 약 4000여 개의 동화에 더해 앞으로는 교과서 기반 콘텐츠와 학령기 아이들이 즐겨찾는 퀴즈 형식의 다양한 학습 콘텐츠를 더해 나갈 것이라 전했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004358270
4,ZDNet Korea,IT,"네이버, LGU+와 손잡고 새 AI 스피커 내놓는다",2019-04-25 17:40:00,2019-04-25 17:40:00,LG유플러스 IoT 서비스에 사용…사전예약 시작  지디넷코리아김민선 기자네이버가 LG유플러스와 손잡고 인공지능 AI 비서 ‘클로바’를 탑재한 새 스마트 스피커를 조만간 출시할 예정이다. 19일 관련 업계에 따르면 네이버는 새로운 AI 스피커 출시를 위해 지난달 초 ‘클로바 온 플러스 Clova ON’ 상표 출원을 완료했다. 현재 최소 출원 요건을 만족했으며 정식 심사를 기다리고 있다. 또 지난 10일엔 네이버 AI 스피커를 생산해온 외주업체 인포마크가 새 기기로 국립전파연구원으로부터 적합성 평가 적합 인증을 받았다. 모델명은 ‘NLS300KRL’로 네이버가 이전에 LG유플러스와 협력해 출시했던 AI 스피커들과 품번이 유사하다. 지난 2017년 12월 공개된 라인프렌즈 캐릭터 모양의 ‘프렌즈플러스’ 기종 품번은 NLS1000KRL 브라운 NLS1100KRL 샐리 등이었다. 기기 명칭에 ‘플러스’가 들어가거나 모델명 마지막에 ‘L’이 들어갈 경우 LG유플러스가 공급한다.  apos클로바 온 플러스apos 스마트 스피커 사진LG유플러스 이벤트 페이지 캡쳐 클로바 온 플러스의 실체는 LG유플러스가 이달 초부터 시작한 이벤트를 통해 이미 일부 대중에 공개됐다. 흰색의 납작한 동그라미 모양의 스피커다. 네이버는 그동안 라인프렌즈 미니언즈 도라에몽 등 다양한 외관과 작은 버전의 캐릭터 스피커를 만들어왔는데 이번 스피커는 캐릭터 이미지를 벗고 보다 깔끔하게 디자인 된 것이 특징이다. LG유플러스는 4월1일부터 30일까지 ‘유플러스 IoT 패키지’ ‘공기질알리미 패키지’ 등 복수 이벤트를 진행하며 클로바 온 플러스 사전예약을 받고 있다. 6월부터 순차 배송된다고 표시했다. 스마트 스피커는 사람의 음성을 인식하고 또 음성이 나온다는 점 때문에 IoT 네트워크의 중추로 여겨진다. LG유플러스의 IoT 서비스는 ‘유플러스 우리집AI’다. LG유플러스 우리집AI 서비스는 네이버와 협력해 만든 AI 스피커나 LG유플러스가 자체 개발한 AI 스피커 유플러스 TV 셋톱박스 등을 통해 제공된다. 네이버 관계자는 이번 클로바 온 플러스는 네이버가 만들었지만 LG유플러스를 통해 단독 출시될 예정이라며 LG유플러스가 공급하는 클로바 스피커에서 유플러스 우리집AI 기능을 쓸 수 있으며  우리집AI가 아닌클로바 자체적으로도 조명을 끄고 켜는 등 IoT 기능이 있다”고 설명했다. LG유플러스의 이벤트 페이지에 따르면 집안 조명을 음성으로 켜고 끄며 멀리 떨어진 IoT 전자제품을 가동시킬 수 있다. 클로바 IoT 네트워크에 포함된 전자제품들을 모두 아우른다는 느낌을 줄 수 있다. IoT 기능 외에도 클로바 자체의 AI 음성 서비스들도 이용할 수 있다. 날씨 일정 맛집 검색 등 생활정보 서비스 뉴스 라디오 팟캐스트 등 미디어 서비스 원어민 대화  동요 동화 등 어린이 서비스 음성으로 주문부터 결제까지 가능한 쇼핑 서비스 등이다. 네이버와 LG유플러스는 지난 2017년 대우건설과 함께 IoT 스마트홈을 구축하기로 업무협약을 맺은 후 계속해서 협력 관계를 이어 오고 있다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160368
5,연합뉴스,사회,"LG유플러스·네이버, 장애인콜택시 이용 회원에게 AI 스피커 전달",2019-04-25 17:40:00,,서울연합뉴스 한종찬 기자  장애인의 날을 3일 앞둔 17일 서울시청 시민청에서 열린 LG유플러스 우리집 AI·네이버 클로바 스마트 스피커 전달 행사에서 류창수 LG유플러스 스마트홈상품 그룹장 상무와 민병찬 서울시설공단 복지경제본부장 등 참석자들이 장애인콜택시 이용 회원에게 스피커를 나눠주고 있다. 이번 행사는 LG유플러스의 행복한 나라 만들기 프로젝트의 하나로 네이버와 서울시설공단이 함께 참여했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010768450
6,뉴시스,사회,"제로페이 궁긍증은?…""챗봇·스마트스피커에 물어보세요""",2019-04-25 17:40:00,,서울시 제로페이 실시간 QA 서비스 실시 네이버 톡톡과 클로바 스마트스피커 통해서 사용법 가맹점 위치 등 자주하는 질문 중심 【서울뉴시스】제로페이 궁긍증은 네이버 챗봇에. 2019.04.17.  사진서울시 제공 【서울뉴시스】배민욱 기자  제로페이로 결제하려면 어떤 앱을 사용해야 하나요 내 주변에서 제로페이를 사용할 수 있는 가맹점은 어디인가요 제로페이에 대한 궁금증을 이제는 챗봇 네이버 톡톡과 인공지능 플랫폼 클로바가 탑재된 스마트 스피커에게 물어보면 실시간 답변을 받을 수 있다.17일 서울시에 따르면 챗봇은 다양한 상황에 따른 고객 분석 데이터를 기반으로 자동응답기능을 제공하는 대화형 메신저를 말한다. 시와 네이버는 이날부터 제로페이 QA 서비스를 시작한다. 제로페이 홈페이지 hpswww.zeropay.or.kr 콜센터 16700582에 이어 시민들의 제로페이 이용 편의를 높이기 위한 취지다. 이용방법은 간단하다. 네이버 검색창에 제로페이 서울 또는 서울을 검색한 후 제로페이 문의 버튼을 클릭 챗봇과 연결되면 궁금한 점을 질문하면 된다.  스마트 스피커를 이용하려면 인공지능 플랫폼 클로바가 탑재된 스피커를 향해 헤이 클로바 제로페이 시작해줘 또는 헤이 클로바 제로페이 열어줘라고 호출한 뒤 문의한다.  시는 제로페이 홈페이지 콜센터 등을 통해 시민들이 자주 문의하는 질문을 챗봇과 스마트 스피커에 적용했다. 또 새롭게 추가되는 제로페이 혜택뿐만 아니라 시민들이 주로 묻는 질문 답변하지 못한 질문 등에 대한 분석 작업을 거친 후 QA 시스템을 보완하고 지속적으로 업데이트해 편의성을 높인다. 【서울뉴시스】제로페이 궁긍증은 스마트스피커에. 2019.04.17.  사진서울시 제공 제로페이 가맹점은 네이버지도에서 제로페이 또는 제로페이 가맹점으로 검색하면 확인할 수 있다. 가맹점 가입 순으로 네이버 지도에 지속적으로 업데이트될 예정이다.  박원순 서울시장은 제로페이 이용방법이 익숙하지 않아 사용하지 못하는 시민들을 위해 이번 시스템을 도입하게 됐다며 네이버 챗봇과 스마트 스피커를 활용해 많은 시민들이 제로페이에 대한 궁금증을 실시간으로 해결하고 제로페이 가맹점에서 편리하게 결제하길 바란다고 말했다.  제로페이는 매장 내 QR을 스마트폰 앱으로 인식해 결제금액을 입력하면 내 계좌에서 판매자 계좌로 금액이 이체되는 모바일 직거래 결제 시스템이다. 연매출 8억원 이하의 소상공인은 제로페이로 결제시 수수료가 0가 된다.  지난해 12월 전국 최초로 서울에서 시범사업을 시작한 이후 전국적으로 확대되고 있다. 최근에는 서울지역에서 제로페이 가맹점이 10만호 점을 돌파했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009177818
7,연합뉴스,사회,"LG유플러스·네이버, 장애인콜택시 이용 회원에게 AI 스피커 전달",2019-04-25 17:40:00,,서울연합뉴스 한종찬 기자  장애인의 날을 3일 앞둔 17일 서울시청 시민청에서 열린 LG유플러스 우리집 AI·네이버 클로바 스마트 스피커 전달 행사에서 류창수 LG유플러스 스마트홈상품 그룹장 상무와 민병찬 서울시설공단 복지경제본부장 등 참석자들이 장애인콜택시 이용 회원에게 스피커를 나눠주고 있다. 이번 행사는 LG유플러스의 행복한 나라 만들기 프로젝트의 하나로 네이버와 서울시설공단이 함께 참여했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010768451
8,연합뉴스,사회,"LG유플러스·네이버, 장애인콜택시 이용 회원에게 AI 스피커 전달",2019-04-25 17:40:00,,서울연합뉴스 한종찬 기자  장애인의 날을 3일 앞둔 17일 서울시청 시민청에서 열린 LG유플러스 우리집 AI·네이버 클로바 스마트 스피커 전달 행사에서 류창수 LG유플러스 스마트홈상품 그룹장 상무와 민병찬 서울시설공단 복지경제본부장 등 참석자들이 장애인콜택시 이용 회원에게 스피커를 나눠준 뒤 기념촬영을 하고 있다. 이번 행사는 LG유플러스의 행복한 나라 만들기 프로젝트의 하나로 네이버와 서울시설공단이 함께 참여했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0010768452
9,데일리안,IT,"네이버-LGU+, 지체 장애인에 AI스피커 등 전달 ",2019-04-25 17:40:00,,서울시설공단에 전달식 가져 “사회적 약자 지원 지속적으로 노력” 네이버는 사회적 약자들도 보다 쉽고 편리하게 AI 서비스를 활용할 수 있도록 돕는다고 17일 밝혔다.  네이버는 이날 LG유플러스와 함께 지체장애인 300명에게 네이버의 AI 플랫폼 클로바가 탑재된 스마트 스피커와 AI 뮤직 서비스 바이브 VIBE 1년 이용권을 전달했다. 이번 행사는 LG유플러스의 ‘행복한 나라 만들기’프로젝트의 일환으로 네이버와 서울시설공단이 함께 참여한다. 이를 통해 장애인 콜택시를 이용하는 지체 장애인들이 AI 스피커를 통해 보다 쉽게 택시를 호출할 수 있을 것으로 기대된다. 네이버는 장애인 등 사회적 약자들도 기술 기반 서비스를 보다 쉽게 이용할 수 있도록 LG유플러스와 함께 지난해 5월과 9월 두 차례에 걸쳐 800대 규모의 AI 스피커와 음원 서비스 이용권을 기부한 바 있다. 네이버는 기존 웹 서비스 분야 뿐 아니라 AI 서비스 분야에서도 장애인들이 보다 손쉽게 정보에 접근할 수 있도록 노력해오고 있다. 대표적으로 LG U유플러스가 만든 클로바 스킬 ‘장애인 콜택시 호출 서비스’ ‘지하철 알리미’ ‘책 읽어 주는 도서관’ ‘소리세상’ 모두 지체장애인들이 클로바가 탑재된 스마트 스피커를 통해 음성으로 손쉽게 대중교통을 이용하거나 다양한 음성 콘텐츠들을 청취할 수 있도록 도와주는 서비스들이다. 민병찬 서울시설공단 복지경제본부 본부장은 “이번 행사를 통해 장애인과 같은 사회적 약자들도 정보에 보다 쉽게 접근할 수 있게 되어 기쁘다”며 “앞으로도 다양한 분야의 기업들과 협력하는 의미 있는 자리가 지속되길 바란다”고 말했다. 정석근 네이버 서치앤클로바 CIC 리더는 “네이버의 기술 철학은 정보와 사람을 연결하고 더 많은 사용자들에게 기술의 편리함을 제공하고자 하는 것에 있다”며 “음성 기술 자체가 몸이 불편한 사람들에게 텍스트의 대안이 될 수 있는 것처럼 네이버가 연구 개발한 기술들이 사회적 약자를 포함한 다양한 사용자들에게 도움이 될 수 있도록 지속적으로 노력해갈 것”이라고  강조했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=119&aid=0002323598
