name,ratings,date,helpful vote,comment
임이응,4,2019년 5월 7일,4,"안녕하세요. 누구 캔들을 잘 사용하고 있어요. 그런데 제가 아리아를 불렀을 때 아리아가 파란 불빛을 내는데요, 잘 때 파란불이 너무 밝고 불편한데 색 설정과 밝기 조절을 할 수 있도록 해주실 수 없나요? 그리고 언제부턴가 종료 예약에 맞춰 종료할 때 밝을 빛을 내고 종료를 해요. 원래는 안 그랬는데 말이죠. 잘 때 보통 종료 예약을 하는데 불빛이 세게 나오면 잠이 확 깨요. 이 부분을 개인이 설정할 수 있도록 바꿔주시면 좋겠어요."
당당쥐,1,2019년 4월 8일,26,자꾸 연결이 잘 안되어서 미치겠어요. 처음부터 안됬으면 버리기라도 하지 잘되다가 자꾸 연결 끊기고 다시 연결도 안되니까. 고객센터에 문의해도 똑같은 이야기밖에 없고 그런것들도 다 적용해봤는데 안되네요. 폰문제인지 누구 문제인지 공유기가 문제인건지.. 답이 안나옵니다.
777 BANG,4,2019년 4월 23일,5,좋고 편리하긴 한데 뭔가 기본적인 것들이 빠져 있음. 업데이트 후 예약 설정해놓은걸 무시한다던가 음악 서비스 관련이 먹통이 된다던가 등등. 말은 잘 알아먹긴 한데 전체적인 안정성 측면이 떨어지는 느낌임.
king sun Da,1,2019년 5월 9일,0,"아니 어제까지 잘되던데 검색을 하면 연결 기기가 없다고 합니까??? 공유기 초기화,누구 캔들 초기화 3시간째 짜증나네요 해결방법없나요??"
KANGMAN,3,2019년 5월 3일,1,티맵 쓰면서 정말 잘 활용하고 있어요 그런데 QM3의 T2C에서 티맵 실행하고 아리아에게 노래 틀어달라하면 멜론 로그인 해야 노래를 끝까지 들을 수 있는데 해당 태블릿은 누구 앱 지원이 안 돼서 누구의 음악 기능을 쓸 수가 없네요.. 누구 선곡 좋아서 멜론 이용하려고 태블릿 스트리밍 이용권까지 끊었는데 정작 태블릿에 누구앱이 안 깔리는... qm3에 들어가는 t2c 태블릿 기종에 지원해주실 예정은 없는건가요
정은영,4,2019년 4월 5일,25,정말 만족하고 잘사용하고 있어요 그런데 응답음 없는것도 기능으로 넣어주셨으면 좋겠어요 옆사람 깰까봐 일부러 텍스트 명령 사용하는데 아리아가 요구한 내용 그대로 읊어줘서 의미가 없어요ㅠㅠ 예를 들어 텍스트 명령으로 10분있다가 불꺼줘 했는데 아리아가 스피커로 10분뒤에 종료예약을 설정했어요 하니까 옆사람이 자꾸 깨요ㅠㅠ
슈퍼마리오,2,2019년 4월 7일,1,"안드로이드 파이 사용자입니다. 아리야 잘 사용하고 있습니다만 홈 화면으로 들어올 때 라디오가 저절로 꺼지고 청취 중에 상단바에 삼성 뮤직 앱이 자동으로 뜨고 노래가 자동으로 재생됩니다. 라디오 채널을 바꿀 때 누구 앱의 라디오 채널이 아니라 삼성 뮤직 앱의 노래 제목이 바뀝니다. 그리고 핸드폰으로 누구 스피커 음량을 조절할 때 블루투스 스피커 음량 조절이 안 뜨고 핸드폰 벨소리 음량 조절이 뜹니다. 마지막으로 라디오는 각종 재난상황 발생시에 항시 틀어놔야 하고, 데이터도 사용해야 하는데 개선해야 할 점이 많아 너무 아쉽습니다."
이민영,5,2019년 5월 12일,0,누구콜 잘 쓰고있는데요 전화 끊으면 이전에 듣던 뮤직플레이어 노래가 이어서 재생이 안되서 불편해요
yoonah park,4,2019년 5월 2일,0,sbs 라디오가 재생이 안돼요ㅠㅠ 잘쓰고 있는데 갑자기 이러네요!
J.H Kim,2,2019년 4월 5일,0,"출시 때 mbc 라디오 지원하길래 누구캔들 구입해서 지금까지 쓰고 있는데, 언제쯤 다시 서비스 재개 됩니까. 답답해서 mbc 고객지원센터에 문의해봐도 예정 없단 소리만 나오고... 누구 플랫폼이 sk의 사물인터넷 메인 플랫폼이니 여러가지 잡다한 기능 넣는 건 이해 하는데, 그렇다고 경쟁상품인 카카오미니나 클로바도 지원하는 걸 도중에 중지하는 건 이해를 못 하겠습니다. 멀티미디어 컨텐츠는 스피커 본연의 기본입니다. 다시 서비스 제공했으면 좋겠네요."
김종호,1,2019년 4월 9일,5,뭔가 싶어 어플하나 깔고 주소록에 연락처를 저장했더니...지 맘대로 상대방에게 알림문자 인지 광고인지..보내네요. 좀 생각좀해보고.. 그런기능을 만드세요. TT..어플깔았다고 대대적인 광고를 하심?!!
이펙트님osu맵,3,2019년 4월 26일,1,음악 들으면서 잘쓰고 있는데 알람이 음악 한번재생에 끝나는것 같은데 계속 반복하는 기능 없나요? 한번만 재생되니까 좀 불편하네요
땡이,3,2019년 4월 5일,2,저는 전화기능이 안되네요. ㅜ.ㅜ 누구캔들한테 앱으로 전화하는건 되는데... Btv+nugu 스피커에 명령해서 전화하는건 아직 자기가 못하는 기능이라는 안내가 나와요. ㅜ.ㅜ
라이브퀴즈쇼공유기,1,2019년 4월 5일,0,외국 노래 재생하기 너무 힘듭니다ㅜㅜ 어플 내에서 노래검색이라도 할수 있게 해주세요ㅜㅜ TOTO노래 틀어달라고 하면 이웃집토토로 틀어줍니다... 스트레스...
Rn Jun,2,2019년 4월 16일,0,스피커로 폰에 전화를 걸었는데 벨만 울리고 ui가 나오지않습니다. 핸드폰에서 전화를 받을수없었어요.
리토리의만화,3,2019년 4월 20일,1,업데이트하고 누구(아리아)가 말을 잘못알아들어요. 예전에 얼버무리면서 불러도 알아들었는데 이젠 뭔 입크게 벌리고 또박또박 불러야 알아듣네요...제것만 이런가요? 이럴거면 업데이트 왜하는건지...
손정현,3,2019년 4월 6일,1,처음사용땐 아주만족하고 사용했는데 요즘은 누구와의연결이 원활하지않다고 항상두번째 알아듣드라구요
손지영,4,2019년 4월 24일,1,까끔씩 누구의 무드등이 준비 상태가 되지 않을때가 있습니다. 도움말을 이용하여 음소거 버튼일 길게 눌렀지만 소용이 없었습니다.
Dongju Kim,4,2019년 4월 26일,1,"플로, 멜론 으로 노래들을 때 듣고있는 곡 가사를 이 누구앱 에서 볼수있게 해주세요."
dani yu,5,2019년 4월 5일,6,덕분에 아리아 잘 사용하고있어요 ㅎㅎ 알람 주중 말고 월~토 / 요일지정 추가됐으면 좋겠규 멜론 플레이리스트 만들어서 재생하는 방법이 있는지요??..
조계준,4,2019년 4월 5일,0,잘 사용중입니다 전화기능 관련해서 라인아웃 연결시 소리가 나지않습니다 라인아웃 제거하면 통화가 가능하더군요
박우섭,5,2019년 4월 5일,5,타통신사 제품을 다사용해봤지만 생활의 유용한 팁으로 누구는 타모델들의 귀여운이미지만고집했다면 자기전 조명을 쓸수있다는것에 한표주고들어간다 거기다 어제 업그레이드를 받은후 말로하는 콜기능이 더해져 한층 앞선기분으로 누구를 재평가 하게된거같다
