name,ratings,date,helpful vote,comment
김헌민,5,2019년 4월 25일,0,"국내 최고 사이트 네이버의 인공지능 도전에 박수 드립니다. 좀더 나아가서 ""네이버 내비게이션"" 도 작동 시키고. 모든 휴대폰 기종 및 통신사 휴대폰에도, 앱을 다운 받으면 음성인식 으로 휴대폰을 컨트롤 할수 있게, 발전 했으면 합니다."
김민성,3,2019년 4월 20일,0,"18일 업데이트 이후 리모콘 조작시(티비, 셋탑) 장치를 인식하지 못하는 경우가 종종 발생하네요. 기기 재등록을 해도 마찬가지고 두세번 동일한 명령을 내리면 동작합니다. 수정 필요할 듯 합니다."
정진심,1,2019년 4월 30일,2,동의가 안눌러져요ㅠ 왜이런가요? 뭐가 잘못된건가요? 4월23일 업데이트 되었다는데 왜안되는거죠? 동의 자체가 안되면 클로바 사용도 안되고 어떻게 하라는건지 제품 반품할까요?
민석김,1,2019년 5월 3일,1,"취침 예약 음악 종료하면 ""예약된 시간이 되었어요 재생을 중단할게요"" 라고 하면서 끄지 말고 그냥 꺼줬으면 좋겠어요 그 멘트 때문에 잠에 깨요. 카카오에서 갈아 탔는데 그게 제일 불편해요 몇 번을 문의 해도 안 들어 주시네요."
DY Kim,3,2019년 4월 21일,1,아이폰에서도 써 보고 갤럭시에서도 써보는데 안정성이 특히 떨어지네요 저는 주로 음악을 많이 듣는데 폰으로 클로바의 음악을 바꿀 수 있는데 어느새 보면 둘의 노래가 다릅니다 클로바앱이 버벅 거려서 한두번 다시 시작한 것이 아니네요 이건 고질적인 문제 같습니다 그리고 음악의 모음 다양하면 좋겠습니다 매번 비슷한 모음으로 되어있습니다 그 모음속에 있는 노래도 매번 비슷합니다 새로운 노래 많이 소개해주면 좋겠습니다 그리고 옛날보다 그 모음 속의 노래가 늘어난 것 같은데 계속 무한 으로 추가가 되면 좋겠습니다 계속 넘기다 보면 노래 다 듣습...전체 리뷰
바구진,1,2019년 4월 21일,3,앱을 깔고 이용약과 동의를 누를려는데 계속 안눌러지네요ㅠㅠㅠㅠ 그냥 아예 다음단계로 안넘어가요ㅠㅠ 왜 이러죠?? 이용약과 동의 자체가 안돼요ㅠㅠ
심혜진,1,2019년 5월 6일,0,vibe 연동은 왜 안되는건가요 ㅡㅡ 이용권도 이용하고 스피커로 틀어달라고 해도 계속 네이버뮤직을 사용중이라고 연동이 안되네요 핸드폰 클로바어플에 말하면 핸드폰은 바이브에서 노래를 틀어주고 스피커는 네이버뮤직 이용중이라고 안된다하고 둘이 같은 의견에 이렇게 차이가 나네요 공지사항에 하란대로 다 했는데도 여러번 시도해도 똑같아서 짜증나 죽겠습니다 .... 이럴거면 그냥 블투스피커를 쓰지요..
TV쩡,1,2019년 5월 1일,2,웨이브 스피커 명령어가 안먹습니다. 음성전송도 안됨. 기기상태는 연결 됬다고 나오는데. 몆번을 앱새로설치 공장초기화해도 같은 증상입니다
Park Jiyoung,2,2019년 4월 27일,0,업그레이드 하고나서 명령어 인식이 안되는데 왜 그럴까요?? 공장초기화까지 다해도 아예 못 알아듣고 같은 대답만 합니다.
오현진,5,2019년 4월 19일,0,재미있같아요 ㅋㅋ제꺼 코드랑 스피커 충전기선이랑 제스마트폰 코드휘어지거든요 오랜되나봐요그래서요 스피커 충전코드랑 선망가져가서 쓰고있었거든요 선이 오래되서 다른걸로 선만사서 쓰고있어요알람은안된네요
김선명,5,2019년 3월 30일,1,여러가지 AI 스피커를 찾아봤지만 일단 AI 스피커의 첫째는 연동성과 편리성이 가장 중요하다고 생각합니다. 일단 저는 브런트의 제품군을 많이 쓰고 있습니다. 연동이 되니 정말 편하고 좋습니다. 그냥 평범한 IOT 생활을 하는 유저 인데 네이버는 플랫폼을 많다면 더 굳건히 자리를 지킬수 있다고 생각합니다. 제품을 개발하고 생산하는것보다. 플랫폼 제휴가 제일 중요하다고 생각합니다. IOT 제품군은 정말 다양한 아이디어가 넘쳐납니다. 디자인이 정말 이쁘면 뭐합니까? 연동이 되는 서비스가 있어야죠! 그럴거면 블루투스 스피커 이쁜게 넘쳐 납...전체 리뷰
Byeonggon Lee,4,2019년 2월 28일,2,"클로바 앱에 관한건 아닌데 웨이브 기기 음성인식이 심하게 떨어지네요. 처음에는 이정도는 아니었던 것 같은데요. 클로바 앱, 웨이브 다 켜놓고 '수원 날씨 알려줘'를 말했고 앱은 정확하게 인식하고 보여주는데 웨이브는 '어'로 인식하고 끝냅니다. 답변은 '네 알겠어요'하고 끝나버리네요. 한 열번쯤 하니까 한번 알아듣던데 마이크 고장일까요?"
유재진,1,2019년 4월 24일,0,며칠전부터 다른 기능은 괜찮은데 알림 기능이 되지 않네요. 서비스 상태가 원활하지 않다고만 하네요. 기본적인 기능인데 왜 안되는지 이해를 할 수가 없네요.
Hyeonbin Cho,4,2019년 2월 27일,1,"다 좋은데 지원하는 라디오 채널은 어떻게 확인하나요? sbs파워에프앰틀어줘 이러면 틀어주긴하는데 다른 채널들은 어떤게 지원되는지 확인하고 싶어요. 재미있는 라디오 골라듣게요. 클로바앱에서 아무리 찾아봐도 라디오 관련 부분은 못찾겠네요. 클로바음성이 ""앱에서 지원하는 라디오 채널을 확인하세요""라고 말했능데 정작 찾아보니 없음..ㅇㅅㅇ"
김동현,3,2019년 3월 10일,1,신나는 노래 재생해줘 하면 대략 20곡? 정도만 선별하는데 더 많이 선곡은 불가능한가요? 그리고 빗소리 시작해줘 라고 하면 몇분 들려주다가 끊기는데 한두시간 연속으로 재생할 수는 없나요? 나머지부분은 만족스럽습니다.
남비즈니스,4,2019년 5월 7일,3,Smart Life - Smart Living 이 앱도 연동이 되도록 추가해 주시면 감사하겠습니다.
Andy Lee,2,2019년 2월 28일,7,"이번에 유인나 목소리로 업뎃후 자주 부르고 있어요 호출명에 ""인나"" 넣어주시면 안될까요? 아니면 직접 원하는 단어 넣어서 사용은 안될까요? 이번에 업데이트 되고나서 계속 접속이 안되서 확인해본 결과 와이파이를 다시 설치 하라고 나오네요 어제도 그랬는데 오늘도 또 그러네요 ㅠㅠ"
eunbee jo,1,2019년 3월 11일,1,이 어플로 기기에 노래 틀고나서 노래를끄거나 다른노래로바꾸고싶은데 아예 먹통이되는경우가많음 대부분그럼 실제로 기기 호출해서 노래를 꺼서 재생중이 아닌데도 어플화면엔 노래가 재생중이고 다른노래는 선택도안되고 먹통되어서 진짜 개짜증 캡쳐본이 있는데 여기 못올려서 답답.
youngeun gwak,3,2019년 3월 31일,3,그다지 만족스럽진않아요...설저어이나 연동이 오류가 많이나고요...또 이번엔 켜서 이용하고있는 중인데도 클로바앱에는 자꾸 오프라인상태라고나오는데 왜그렇죠?? 상태재확인 계속 눌러봐도 계속 오프상태...지금 작동중인데요?? 왜때문이죠??
옥수란,4,2019년 4월 19일,0,가끔 못알아들을 때가 너무 많아요ㅜㅜ 충전이 다 되면 저만 계속 소리가 나나요?? 계속 지혼자 띠링띠링 거려요ㅠㅠㅠ 그리고 충전 100시키고 자도 새벽에 지 혼자 꺼져요 배터리가 왜 이렇게 빨리닳아요? 산지 1년도 안됬는데
namoo,2,2019년 3월 28일,0,이번에업데이트됫는데모가좋아진지모르겟음.티비켜줘.꺼죠.날씨어때?미세먼지.음악켜죠.이건잘하는데.전기불키고끄기.공기청정기키고끄기.티비채널바꾸기볼륨조절기능이추가되엇음좋겟네요.글구조금멀어지면클로바가대답을안함요;;;
Woo Ji,1,2019년 3월 17일,5,"겉만 이쁜 예쁜 쓰레기 맞아요. 기본적인 블루투스 연결도 한 번에 잘 안되고 계속 연결해놔도 다시 끊어지고요. 그리고 노래 연동 네이버 뮤직이랑도 안되네요? 물건을 한번 만들면 끝인가요. 기본적인 블루투스 스피커도 제대로 못하면서 무슨 대대적인 광고까지 내는 거예요? 인공지능을 거지같이 하면 클로바 앱에서 수동으로 작성하는거라도 제대로 할수있게 해주던가 말로도 안돼, 손가락으로도 안돼 뭐 되는게 뭐예요? 수시로 업뎃을 하지말고 제대로 만들고 업뎃을 해요. 생각과 시도라는걸 좀 여러번 하세요. 아 그리고 배터리 정말 조루네요."
fillm r,3,2019년 5월 9일,0,그 혹시 네이버 클로바 앱은 검색해서 노래재생 하는 건 안되나요? 그거 정말 불편해요
양시용짱,5,2019년 4월 28일,0,좋긴좋은데도라애몽에디션이랑lg스마트씽큐스피커2개로추가로연결할수있나요?
사과[미라클],4,2019년 5월 6일,0,음악 서비스에 멜론 설치 해주면 안돼요? 멜론으로 듣고 싶은데
최수운,2,2019년 3월 28일,1,"펌웨어 업데이트만 하면 설정을 다시해야하고, 클로바앱에서는 계속 오프라인 뜨고, 그 바람에 유플TV도 연결 안되고, 뭔가 항상 삐그덕 거리는데 어떻게 해결 안되나요?"
ッ쳬린,5,2019년 3월 31일,0,클로바가 .. 말을 너무 못알아들어요 .. ㅠㅠ 열심히 말해도 .. 자꾸 다른 노래를 틀어버립니다 ..
You Tube Korea,3,2019년 4월 19일,0,다른건 좋지만 클로바를 그냥 바탕화면에서도 부르고 실행할수 있게 해주세요
비승뀨,1,2019년 4월 5일,4,왜 갑자기안되는거죠? 업데이트떠서 업데이트햇더니 인식을안하네요 클로바 껏다켜도 안되고 디바이스연결 눌러도 계속 안됩니다. 일시적장애가 발생했다는데 일시적이 아니라 지속적이네요.
안지,1,2019년 5월 1일,0,앱 알림벳지좀 없애주세요ㅠㅠ 뭐가 문젠지 안없어지네요...하...
ARA SONG,1,2019년 4월 9일,0,언제부턴가 클로바 디바이스가 계속 오프라인이예여. 앱 재설치하고 디바이스 연결해제하고 다시 연결 수십번 해도 똑같네요. 쓰지 말라는건지....
정재원,4,2019년 4월 9일,0,다 좋은데 노래 재생할때 랜덤으로 재생하는 기능 넣어주시면 정말 감사하겠습니다... 그리고 제가 설정한 재생목록 이름 말했을때 재생되는 기능도요.
이옥경,1,2019년 4월 17일,1,안녕하세요 어플까는데 약관동의체크를 다했는데도 동의버튼이 안눌러져요ㅜㅜ왜그러죠
이용환,1,2019년 4월 5일,1,바이브 업데이트 후 AI스피커에서 1분 음악재생만 되네요. 전 유료결재 이용자입니다. 이건 뭐하는건가요
변상현,1,2019년 4월 2일,0,잘쓰다가 갑자기 연결 끊김이라고 뜨고 성남시 분당 날씨밖에 안알려줌. 더시 연결 완료 해도 연결 끊김이라고 뜸
전후남,1,2019년 4월 28일,0,클로바 사용자 동의 버튼을 눌려도 진행되지 않아요 어떡하지요
박성훈,3,2019년 4월 11일,0,클로바랑 글자로 말하고 글자로 검색하고 음성인식이 힘든경우에는 쓸수긴 없네요 문자입력만 가능하면 만점입니다
곽창수,2,2019년 4월 22일,1,서비스 인증실패 왜그런가요?
이폭스,2,2019년 3월 2일,6,네이버뮤직 연동하다가 벅스뮤직으로 바꿨는데 클로바앱을 통해서 벅스뮤직 이용권확인 연동도 된 상태이나 1분 듣기로 재생됨 폰에서는 정상적으로 재생됨. 클로바 계정 해지했다가 다시 연동해도 동일함 짜증폭발
세정파,3,2019년 4월 11일,0,저는 음악을 멜론에서 듣는데 클로바에서 노래 스트리밍을 멜론을 못 해서 조금 아쉽습니다.
진성민,1,2019년 4월 13일,0,깔았는데 로그인이 안됩니다. LG U+ 구요 단말기는 v30입니다.
Minah Lee,1,2019년 3월 14일,0,쓰레기앱이네요 어플에서 알람설정못하게 막으면 뭐하러 저딴 ai같지도않은 기계 씁니까? 가끔가다 말귀도못알아먹던데 그리고 음악 검색하는것도 어플에서 할수있게끔 해주던가
이대현,5,2019년 4월 26일,0,샤오미 2세대 무선선풍기좀 연동해주세요...
장유민,4,2019년 2월 27일,0,제가 다 좋은데 네이버 계정이 없어서 만들려고 하는데 가입하기를 눌러듀 계속 가입이 안되서요. 제 폰이 이상한건가요?
김승현,4,2019년 5월 8일,0,다 좋은데 스마트홈에서 SmartThings 추가해주세요
김강산,1,2019년 4월 4일,0,벅스 본인인증 확인 여부: 본인인증 안됨 이거 어떻게 해결하는지 빨리 말해라
Google 사용자,1,2019년 3월 5일,0,네이버 로그인 안되요... 인터넷으로 열기하면 없는페이지라는데요?
tristan kwon,1,2019년 4월 15일,1,필립스휴 연동이 업데이트 이후로 왜 안되죠?
박상윤,1,2019년 4월 11일,0,이용 약관에 동의를 못한다고 계속뜨는데 뭐가문젭니까
댕이와바견씨,1,2019년 3월 19일,0,클로바는 틀로바앱을 실행해야 대답울하네요..ok구글처럼앱실향안해도되개햐주실수잇나요?
가비나무gabinamu,1,2019년 4월 4일,0,네이버 로긴이안됨. 어쩌라는건지. 답변도없고. 에라이.
이진희,2,2019년 2월 13일,1,뮤직앱 지니사용자입니다. 클로바 내에서 음악순서 변경을 해도 완료 버튼을 누르면 변경 전으로 돌아갑니다. 즉 음악순서가 변경이 안됩니다. 그리고 2001년 인기음악 과 같은 방식으로 년도별 음악 재생이 가능해지면 좋겠습니다.
성원박,5,2019년 5월 6일,0,조은데 자꾸 boycold youth! 틀라고 했는데 boycold 뉴스 틀어줌ㅔ
김승만,5,2019년 4월 9일,0,비밀번호를수시로설정해야되니쪼금불편하고수정할수있는지
