,index,nugu,score
0,1,배송이랑 등이랑 다잘왓구요 ㅎ 전등은 놓을데가 없어서 아직 못쓰고 잇네요 ㅎ 음악듣고 티비 리모컨 대신쓰고 잇는데 짱 편해요 ㅋㅋ명령어는 정확하게 지시해주는게 좋아요 안그럼 얘 엉뚱한짓합니다 ㅋ 너무 뭉뚱그려 지시하지마셔요 ㅎ 나름 만족하며 잘쓰고 잇어요 ㅎ 소리도 최대치에서 생각보다 커서 다행인듯해요 ㅎ,5
1,2,"기가지니버디 성능 완정 말짱 꽝! 할 줄 아는게 없다! 클로바 적극 추천. 기가지니버디는 지가지니 다른기기에서는 가능한걸 일부러 막은건지 기능축소한건지 음악재생 외엔 한자리수 더하기는 할 줄 안다. 곱하기 나누기 불가.. 2자리수 빼기도 못해 뉴스재생은 보수종편만 생방송만 한다. 지난뉴스를 들려주거나 선택 , 검색 절대 안된다. 음악 스피커 외에 인공지능으로 사겠다면..절대 반대며... 스피커로는 이 가격이면 좋은거 살 수 있다. 양심이 전혀 없는 상품이다!!",2
2,3,"쇼핑비교사이트에서 비교하고 제일 저렴하게 구매했습니다.잘받았습니다.기본 10자 이상 작성시 100P 즉시지급이미지 등록시 100P 즉시 추가지급개당 상품 가격이 5,000원 이하 상품은 적립대상에서 제외되며,리뷰 포인트는 최초 1회 작성시에만 지급됩니다.같은 단어가 반복된 내용은 임의로 삭제되며, 지급된 포인트가 회수될 수 있습니다.다른 고객님들에게 유용한 상품 리뷰를 작성해주세요.",5
3,4,배송 빠르고 제품 아담하고 좋습니다.출력이 낮은 제품이기에 음량은 다소 약한 느낌이지만 음질은 괜찮네요.앱설치하고 이것 저것 실행해보니 인식률도 괜찮은 것 같네요.무료이용권 언제 받을지는 모르겠지만 1년 이용권임을 감안하면 가격도 괜찮은 것 같네요,4
4,5,음질은 아주 좋다고 하긴 어렵지만 다른 음성인식 스피커들 보단 좀 괜찮은거 같아요. 크기도 아담하고 잘 알아듣네요.연결도 잘되고 좋습니다.,5
5,6,큰 기대 안 했는데 생각보다 음성 인식 잘 하네요..,5
6,7,배송빠르게 잘 왔습니다,5
7,8,음악 듣기는 최고네오 음질이 좋아요,5
8,9,예쁘고 잘작동되네요,5
9,10,필요해서 구매했어요,5
10,11,사은품 지니 이용권은 언제 준다는 설명이없네요.,4
11,12,마음에 들어요 굿굿,4
12,13,배송도 빠르고 블루투스 스피커로써도 음질 좋습니다.츄쳔,5
13,14,배송도 빠르고 제품도 안전하게 잘 포장되어 왔습니다,5
14,15,조항요88888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888,5
15,16,이쁜데 음성인식은 갈 길이 머네요,5
16,17,상품 디자인 완전 만족합니다아쉬운건 블투 연결 시 소리가 너무 작은 점?그냥 자체 스피커 일때는 좋아요,5
17,18,인터넷연결도 쉽고 불루투스 스피커도 되서좋아요,5
18,19,생각보다 좋네요 배송도 빠르고요 만족합니다,5
19,20,배송도 빠르고 좋네요. 잘 받았습니다~,4
20,21,잘 못알아듣고 기능도 적네요,3
21,22,좋아요,5
22,23,배송은 만족합니다. 잘 되는지는 써봐야할 것 같습니다.,3
23,24,아직 연결 전 이라 연결하여 사용 후 다시 남길게요~,4
24,25,잘쓰겠습니다. 배송 만족합니다.,3
25,26,"음성인식 및 응답률, 응답 퀄리티가 skt, 네이버, 구글 등 타사 제품에 비해 떨어진다고 느꼈음",3
26,27,써본 음성인식 스피커 제품중 가장 별로입니다. 네트워크 오류가 잦고 함께 주문한 한샘 램프와의 연결 사용성도 형편없네요.,2
27,28,null,5
28,29,매우만족합니다 매번,5
29,30,매우만족합니다 매번,5
30,31,아주 좋아요,5
31,32,배송도 빠르고 쿠폰도 빨리왔어요노래도 잘틀어주고 좋은데 가끔 컴퓨터 스피커 소리를 듣고 깨어나는건 조금 에러...,5
32,33,말 인식을 잘못해서 답답할때도 있는데 편해요.,5
33,34,스피커가 좋아서 그런지 소리는 마음에 드네요.AI는 아직 콘텐츠가 더 필요한듯하구요.다른데 보다 저렴하게 샀기에 나름 만족합니다.,5
34,35,말잘알아들어요 생각보다 음질은 좋지 않네요 너무 많은걸 기대한건가..ㅠ,5
35,36,빠른 배송 감사합니다.,5
36,37,빠른 배송 감사합니다.,5
37,38,주문 다음날 받았어요 스피커 음질 좋고 성능 기대 이상이네요 좋아요,5
38,39,누구미니 보다 3배의 스피커성능 짱입니다.,5
39,40,지니이용권을 보내주지 않네요,4
40,41,아이들이 좋아해요 뮤직도 잘찾아주고 저렴하거 잘산것 같아요. 아이들이 듣고 싶은 노래 잘찾아주고 엄 마가 듣고 싶은 라디오도 듣고 ^^,5
41,42,최저가 일때 구매했어요^^ 쿠폰도 잘왔어요^^,5
42,43,날씨도 안좋은데 생각보다 빨리와서 좋네요. 지니쿠폰도 퀵으로 부탁해요~~,4
43,44,배송도 빨리오구 기계도 멀쩡하네요 매우 만족합니다,5
44,45,순차 발송하신다시..목빠지게 기다려일겠네요~,5
45,46,어휴... 그냥저냥 스피커 샀다고 생각함,1
46,47,배송빠르고 최저가 인터파크!!,5
47,48,지니 잘받았는데 이용권이없어요. 주문한번호로 이용권번호보내주세요. 동봉된줄알고한참찾았네요,4
48,49,감사합니다. 주문후 바로 받았습니다. 이용권도 구매결정후 담날 바로 오네요.,5
49,50,"총 3대 주문했는데, 바로 옵니다. 구매결정하니 이용권도 담날 바로 오구요.근데, 3개 이용권 모두 한 아이디로 등록은 안되나보네요. 감사합니다. ㅠㅠ",5
50,51,잘 받았습니다. 감사합니다. 이용권도 구매결정하면 바로 옵니다.,5
51,52,빠른 배송 감사합니다! 손에 꽉 들어 오니 좋네요! 색상을 다양하게 했으면 더 좋겠습니다,5
52,53,와이파이 5기가대는 설정이 잘 안되네요. 설정하니 잘되네요.,5
