,index,nugu,score
0,1,"여기 진짜 황당ㅡ제품과 상관없고 판매자에 대한 글입니다 아무리 최저가 비슷해도 이 판매자한테 사지 마세요. 미국에 사는데 한국 들어갈때 구매했습니다. 분명히 구매하면서 몇일 까지 도착안하면 비행기 시간때문에 리턴해여한다고 이야기 했습니다. 발송한다는 문자에 답장도 그렇게 넣었구요. 결국 제가 비행기 출발하는 날 도착안했습니다 (80프로가 몇요일 도착 뭐 이따위 정보가 완전 거짓)도착안해서 한국에 있는 엄마가 문자보내고 저는.반품 신청을 했구요 근데카카오프렌즈 구매대행 제품입니다.반품 교환시 제품마다 출고지가 다르기때문에 자동수거접수가 불가합니다.교환.반품시 임의반품교환 진행하지마시고 꼭 게시판문의부탁드립니다.제품마다 출고지가 다르기때문에임의반품시 2번의 왕복배송비가 발생됩니다.반품교환시 네이버로그인ㅡ네이버페이ㅡ주문내역ㅡ문의하기 를통해 먼저 문의하시고 판매자가 반품접수해야 가능합니다이렇게 나오길래문의하기하고 전화 하루에 5번씩 하고 문자온데 다시 문자하고결론 ㅡ 문의하기 답장 안하다가 지움리턴신청 안받아줌전화 한번도 안받음문자 답장으로 구매자 성함은요 라고 물어서 답장했더니 답장 안옴그렇게 리턴가능최초 기간이 지났고 1주일?네이버스토어에 문의해서 저 판매자 연락좀해보라니까 3주뒤에 하는 소리가 반품 신청 기간이 지나서 안되고 이유가 안되고 지금 반푼 하려면 재고보관료 3만원 내라고,,,,참나제가 미국 살아서 아마존에서 상품을 구매하고 반품 하면서 이렇게 황당한 경우도 없었고 판매자가 이런 마인드를 가지고 판매하면서 아직도 네이버 쇼핑 상위에 떠서 많은 사람들은 현혹하고 돈을 벌고 있다는게 신기할 따름이네요.전화도 한번 받은 적이 없는 스토어라문의게시판에 답장한번 없고 지우는 스토어라결국 이런일을 통해 3만원이 넘는 해외배송을 부담하게 하고 미안하다는 사과 한마디면 되는일을 이렇게 네이버를 통해 3주만에 연락을 받게 하는 스토어라몇천원 더내도 여기서 사지 말라고 도시락 싸들고 말리겠습니다",1
1,2,"TV를 이용안해서 KT지니 인공지능 사용을 못한다기에 카카오 미니AI로 선택했어요!웬만한건 뭐, iot빼곤 아쉬운 점 없어요!멜론 이용권 구입해서 마음껏 노래듣고, 카카오톡 보내주는것도 편리하네요어머니께 선물드렸는데 계속 끼고 사십니당!어르신들께도 강추에요",5
2,3,한달넘게 잘 사용하는 중입니다~다른 블루투스 스피커랑 다르게 라이언이 위에 올라가있어서 귀엽고 좋아요 ㅎㅎ다만 아쉬운점은 카카오미니 킬때마다 와이파이를 등록해야해서 조금 귀찮을때가 있어요... 그래도 안꺼놓으면 되니까 쓰는데 큰 지장은 없어요!앞으로도 잘 쓰겠습니다~~,4
3,4,"헤이카카오라는 앱깔고 카카오 아이디로 로그인해서 사용하는거네요 음악은 어떻게 듣나 했더니 멜론으로 로그인 연동해놓아서 듣는거였어요 7세 아들이 라이언이랑 방탄소년단을 좋아하거든요 라이언 매달려있다고 좋아하고 엄마 내가 음악들려줄께 그럼서 헤이카카오 방탄소년단 마이크드롭 틀어줘 이럼서 계속 춤추고 놀고 있어요 이거 때문에 이제 유치원 지각안한다면서 매일 아침 알람설정해놓고, 날씨도 물어보고.. 도착 첫날이라서 잘 가지고 노는지 모르겠지만 엄청 좋아하네요^^",5
4,5,물건은 꽤 빨리 받아서 만족합니다! 20일에 주문해서 23~24일에 받았던거같네요~아쉬운점은 제가 쓸게아니고 선물로 줄거라 확인차 전화를 여러번 드렸는데 한번도 받지않으시더라고요... 혹시나해서 톡톡도 드렸지만 역시 안보시는거같고...ㅠ저는 그런점에서 아쉬웠지만 안급한분들이라면 걱정말고 주문하셔도 괜찮을거같습니다~~,3
5,6,"이 판매자한테 구매하지 마세요. 배송이 늦어지길래 구매 취소를 했더니, 택배 송장도 등록하지 않은 상태에서 물건을 먼져 보내버려습니다. 귀찮아서 그냥 쓰기로 했지만 매우 불쾌했고, 배송 매우 느립니다. 그리고 포장도 뽁뽁이 하나도 없이 제품 생 박스 그대로 송장 보내서 왔습니다. 스피커는 좋아요!",1
6,7,풀패키지가 8.2인 줄 알았는데 아니네요 자세히 보지 않은 제 불찰도 있지만 카카오선물하기에서 9.9로 풀패키지 뜬 거 샀다가 이거 보고 취소하고 구매했던 건데 좀 그래여; 상품 이름 자체를 풀패키지로 달아놔서 별도 옵션은 확인 안 하게 되네요,2
7,8,물건은 잘 받았는데요 택배조회도 안되고 택배송장번호도 오류이고 중간에 택배회사 변경되고 고객센터에 문의할려고 해도 전화 절대 안받으시고 안튼 여러가지로 불안한 요소들이 많아서 다시 구매하지는 않을것 같네요 구매하시는 분들 참고하시면 좋겠네요,1
8,9,아직 조금 멍청하긴 한데 재밌네요. 음악 듣기도 좋고 카카오톡과 연동 기능은 정말 최고입니다,5
9,10,빠른배송에 놀라고~디자인에 감동하고~ 성능에 만족했어요~가격대도 착해서~~저희집 아들들이 너무 좋아라 합니다.,5
