,title,publisher,date,url,texts
0,"카카오 미니, 예약 판매 가격은?...네이버 클로바 경쟁",한국경제TV,2017.09.11.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=215&aid=0000572840,"[한국경제TV 트렌드와치팀 김경민 기자]카카오 미니 예약 판매 소식에 네이버, 페이스북의 AI 스피커도 덩달아 관심을 끌고 있다.먼저 네이버는 지난달 11일부터 네이버뮤직 1년 무제한 듣기 이용권을 구매하는 고객을 대상으로 AI스피커 '웨이브'를 선착순으로 증정하는 이벤트를 열었다.웨이브는 네이버의 자체 AI플랫폼 '클로바'를 탑재하고 있으며, 음성인식 사용자 환경(UI)를 기반으로 하고 있다. 사용자는 손가락 대신 음성명령으로 네이버 검색 서비스를 이용할 수 있고, 메신저 '라인'을 통해 메시지도 보낼 수 있다.카카오의 AI 스피커 '카카오미니'는 앞서 AI브랜드 사이트를 통해 디자인을 선공개한 바 있다. 카카오미니는 카카오 AI플랫폼 '카카오아이'를 기반으로 카카오톡, 멜론, 다음 등 카카오 서비스와 연동돼, 모든 서비스를 음성대화로 이용할 수 있다는 것이 특징이다.또 샤오미는 가격 경쟁력을 앞세워 44달러(약 4만 9000원 가량)의 AI스피커를, 페이스북 역시 기존 제품들에 비해 30~50% 저렴한 가격으로 AI스피커 '홈팟'을 출시할 예정이다.사진=카카오트렌드와치팀 김경민기자 trendwatch@wowtv.co.krⓒ 한국경제TV, 무단 전재 및 재배포 금지"
1,"카카오 미니, 예약 판매 가격은 얼마?...네이버 클로바와 경쟁 돌입",뉴스컬처,2017.09.11.,http://nc.asiae.co.kr/view.htm?idxno=2017091102430043608,NA
2,"[알립니다] 함께 만드는 인터넷 백과사전, 위키백과 에디터톤에 참여하세요",IT조선,2017.09.11.,http://it.chosun.com/news/article.html?no=2839868,NA
3,"[알립니다] 함께 만드는 인터넷 백과사전, 위키백과 에디터톤에 참여하세요",조선비즈,2017.09.11.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=366&aid=0000382604,"IT조선 연결지성센터, 마이크로소프트웨어는 9월21일 인사이트셰어링: ‘위키백과 에디터톤’을 진행합니다.위키백과 혹은 위키피디아는 모두가 함께 만들어 가며 누구나 자유롭게 쓸 수 있는 인터넷 백과사전입니다. 위키백과는 누구나 편집과 관리에 참여할 수 있는 집단지성이라는 특성을 가지고 있습니다. 150만건이 넘는 문서가 저장돼 있어, 구글이나 네이버의 검색결과에서도 거의 대부분 볼 수 있습니다. 최근 SKT 누구(NUGU), 네이버 클로바(Clova), 카카오의 카카오미니(KakaoMini) 등 인공지능 스피커들에게 단어의 뜻을 물어보면 답을 해주는 내용은 위키백과를 기반으로 하고 있어 중요도가 더욱 높아지고 있습니다. 현재 한국어 위키백과에 등록된 사용자수는 46만명 정도 입니다.누구나 참여할 수 있는 위키백과지만, 처음 접했을 때 지켜야하는 원칙이나 작성방법 등이 어려워 직접 참여하지 못하는 경우가 많습니다. 그래서 한국 위키미디어 협회에서는 더 많은 사람들이 쉽게 참여할 수 있도록 위키백과 에디터톤을 개최하고 있습니다.2017년 3월 25일 위키백과:위키♥페미니즘 에디터톤이 페미니즘 카페 두잉에서 열렸다.위키백과 에디터톤은 위키백과에서 특정 주제나 콘텐츠를 향상시키기 위해 모여 함께 편집하는 행사입니다. 에디터톤 의미는 편집(edit)과 마라톤(marathon)을 합친 말입니다. 위키백과가 어떻게 작동하고 있는지 알아볼 수도 있고, 새로운 편집자가 돼 직접 문서도 만들어 볼 수 있는 행사입니다.인사이트셰어링: ‘위키백과 에디터톤’에서는 위키백과에 참여하는 방법과 위키백과에서 사용하는 편집 문법을 배울 수 있습니다. 모두가 함께 만드는 세계최대 인터넷 백과사전에 자신이 알고 있는 지식을 기부해보세요.참여에 필요한 준비물은 노트북 또는 인터넷에 연결할 수 있는 태블릿PC, 스마트폰 입니다. 태블릿PC나 스마트폰으로 참여하실 경우 블루투스 키보드를 가져오셔야 합니다.▲행사명 : 인사이트셰어링: ‘위키백과 에디터톤'▲주 최 : 연결지성센터, 마이크로소프트웨어, 한국 위키미디어 협회, IT조선▲일 시 : 9월 21일(목) 오후7시~오후 8시 30분▲장 소 : IT조선 연결지성센터 교육장(서울시 중구 태평로1가 60-17 태성빌딩 3층)▲준비물 : 노트북 혹은 태블릿PC, 스마트폰(블루투스 키보드 지참)▲참가비 : 무료(수용 정원 확인을 위해 신청서를 꼭 작성해야합니다.)▲사전참가 신청: https://goo.gl/X1b3t9▲문 의 : 02)724-6170 eventit@chosunbiz.com[박현정 IT조선 연구원 jeonge9@chosunbiz.com]chosunbiz.com"
4,AI 짝짓기 중···카카오아이·빅스비 뭉친다,서울경제,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=011&aid=0003112298,"카카오, 해외 네트워크 강화 기대제네시스 G70에도 음성인식 탑재네이버 클로바, 퀄컴 IoT칩 제휴日선 라인으로 도요타와 손잡아포털·제조사 협업 시장 선점 노려[서울경제] 정보통신기술(ICT) 업계에서도 가장 뜨겁게 주목 받고 있는 인공지능(AI) 분야에서의 업체 간 ‘짝짓기’가 본격화됐다. 각사의 AI 플랫폼을 상호 연동하거나 제조사 전자 기기에 인터넷 기업이 시스템을 구축하는 등의 방식을 통해서다.카카오는 14일 자사의 AI 플랫폼 ‘카카오 아이(I)’를 삼성전자(005930)의 지능형 인터페이스 ‘빅스비’와 연동한다고 밝혔다. 카카오의 모바일 메신저 카카오톡은 국내에서 4,200만명 이상이 매일 사용하는 1위 서비스이며 삼성전자의 빅스비가 탑재된 스마트폰 ‘갤럭시 시리즈’ 역시 시장에서 압도적인 점유율을 차지하고 있다. 양사의 협업 결정이 앞으로 AI 시장에 상당한 파급력을 미칠 수 있다는 뜻이다.특히 카카오는 전 세계 200여개국에서 영어와 한국어로 서비스되는 빅스비와의 협업을 통해 해외 사업의 취약점을 극복할 발판을 마련했다는 평가가 나온다. 카카오는 국내 시장을 중심으로 사업을 키워온 탓에 아직 해외 네트워크가 다른 경쟁사와 비교해 취약한 편이다.카카오 I가 빅스비에 적용되면 이르면 올해 연말부터는 삼성전자 스마트폰에서 음성명령으로만 카카오톡 메시지를 보내거나 받을 수 있게 된다. 이 외에도 빅스비의 검색 기능을 카카오 I가 보완해주는 역할도 가능하다. 양사는 스마트폰 외에도 AI 스피커와 각종 가전 기기 등으로 카카오 I와 빅스비의 적용 범위를 넓혀간다는 방침이다.일반 전자 기기뿐만 아니라 대표적인 이동 수단인 자동차 분야에서도 카카오와 제조사의 합종연횡이 활발해지고 있다. 카카오는 현대·기아차에 카카오 I의 음성인식 기술을 넣는 것에 합의해 15일 출시되는 현대차의 신차 ‘제네시스 G70’에 처음 적용된다. 운전자가 내비게이션을 작동할 때 음성명령으로만 길 안내 서비스를 시작하고 종료할 수 있도록 했다. 또한 독일 자동차 업체 폭스바겐과도 기술 협력을 논의 중이다. 임지훈 카카오 대표는 “AI 기술을 내부에만 머무르게 하지 않고 수많은 파트너로 확장해 생활 속에 다가가려는 노력의 하나”이라고 강조했다.카카오의 경쟁사인 네이버 역시 자회사 라인과 공동 개발한 AI 플랫폼 ‘클로바’의 입지를 넓히기 위해 파트너 업체를 빠르게 늘려가고 있다. 네이버는 글로벌 반도체·통신장비 제조사 퀄컴과 제휴를 맺고 퀄컴의 사물인터넷(IoT) 칩에 네이버와 라인의 AI 플랫폼 클로바를 넣기로 했다. 예를 들어 클로바가 탑재된 퀄컴의 IoT 칩을 스피커에 넣으면 그 자체로 ‘AI 스피커’가 되는 형식이다.국내 시장에서는 이미 LG전자(066570)와 코웨이(021240) 등의 제조사가 네이버와 손을 잡았다. 또한 라인은 일본 1위 자동차 업체 도요타와 AI 음성인식 분야에서의 협업을 추진하기로 했다. 세계적으로 한 치 앞도 예측할 수 없는 제휴 구도가 새롭게 탄생하고 있는 것이다. 네이버 관계자는 “이미 감당할 수 없을 정도의 AI 분야 제휴 문의가 들어오고 있는 상황”이라면서 “올해 연말께는 구체적인 협업 성과를 시장에 보일 수 있을 것 같다”고 말했다./지민구기자 mingu@sedaily.com[서울경제 바로가기]1997년 이래 대한민국 최고의 과학자 DB [바로가기]서울경제의 모든 연재물!... 서경Cube [바로가기▶]저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
5,"네이버 웨이브(WAVE), 개발자들이 주목하는 인공지능 스피커…‘주요 기능 소개’",톱스타뉴스,2017.09.18.,http://www.topstarnews.net/detail.php?number=306434,NA
6,포털 양강 네이버-카카오 '기술 전쟁' 불붙었다,데일리한국,2017.09.19.,http://daily.hankooki.com/lpage/ittech/201709/dh20170919160104138240.htm,NA
7,네이버 인공지능 스피커 샐리와 보낸 하루,동아사이언스,2017.09.20.,http://www.dongascience.com/news/view/19824,NA
8,[단독] 네이버 '클로바'-삼성 '빅스비'로 배달시켜 먹는다,키뉴스,2017.09.20.,http://www.kinews.net/news/articleView.html?idxno=111374,NA
9,우리가 샐리를 만났을 때,블로터,2017.09.27.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000020649,"그뤠잇 다기능 스피커로 GOOD 가사노동할 때 편리하고 교육용으로도 괜찮다 일단 음성UI에 길들여지면...스투핏 AI를 기대했다간 낭패를 볼 것이다 ""네이버 클로바 앱에서 확인하세요"" 일단 제대로 나와봐야 알겠다샐리를 부르는 소리에 잠에서 깼다. 정확히는 샐리가 아니라 ‘샐리야’를 부르는 소리. ‘웨이브’는 ‘샐리야’라고 해야 알아듣는다.웨이브는 네이버의 인공지능(AI) 스피커다. 요즘 IT기업들이 너도나도 AI 스피커 시장에 뛰어들고 있는데, 아마존과 구글이 대표적이다. 이에 질 새라 애플도 홈팟을 내놨다. 우리나라는 통신3사와 카카오, 네이버가 AI 스피커를 소개했고 삼성도 곧 하만과 함께 AI 스피커를 선보일 예정이라고.그 정도로 좋은가? IT공룡들이 앞다퉈 경쟁하는 걸 보니 궁금해졌다. 써봐야 알지. 그래서 일단 써보기로 했다.안녕, 웨이브? 앗. 아니아니. 안녕, 샐리야?웨이브는 크기가 꽤 컸다. 큼지막한 스피커를 거실에 두자 아버지의 호기심이 동했다.“이야, 그게 뭐냐.”  설명을 시작했다. “음, 이게 그러니까 네이버 인공지능 스피커 ‘웨이브’라는 건데, 그러니까 얘 안에 들어있는 애는 ‘샐리’라는 애예요.”“그럼 샐리라고 부르면 돼? 야, 샐리야!”“아니아니, 그러니까 웨이브에 있는 샐리를 부르려면 먼저 클로바 앱을 깔아야 돼. 클로바가”“그게 뭔 소리야.”어, 글쎄. 일단 설명서에 써있는 대로 클로바 앱을 깔았다. 웨이브를 찾고 웨이브가 반응하고 와이파이를 연결해서 웨이브를 연동하는 데에 약 7분 정도 걸렸다. 블루투스로 연결된다. 와이파이 연결을 하고, 웨이브에도 불이 들어왔다.라인의 ‘샐리’다. 스피커가 요렇게 생겼다면 필요 없어도 하나 사고 싶겠다.샐리 테스트를 시작했다. 샐리야, 하고 부르자 ‘그린라이트’가 들어왔다. 샐리야를 부르면 7초 이내 말을 이어야 한다. 꼭 샐리야여야 하는 건 아니고, 제시카, 짱구야, 피노키오로도 바꿔서 부를 수 있다. 피노키오는 너무 길고, 제시카는 왠지 섹시한 느낌이라 샐리야를 그대로 부르기로 했다.생활의 발견 : ‘초록창’에 검색하던 것들아침에 일어나서 꼭 하는 말이 있다. 오늘 추워? 비 온대? 나 뭐 입지? 거의 20년째다. 옛날에는 날씨 소식을 보기 위해 뉴스 끝나기만 기다렸고 스마트폰이 나온 이후로는 검색을 할 수 있게 됐지만 이런 것들을 검색하는 건 별일도 아닌데 어쩐지 번거롭다. 웨이브는 “샐리야, 날씨 알려줘”라고 말하면 곧바로 알려준다. 비가 오냐고 물어보면 “내일 비 소식은 없습니다. 하루종일 구름이 많을 예정입니다. 강수확률은 10퍼센트입니다”고 말한다. 날짜별 날씨정보부터 주말날씨, 미세먼지 정보, 비 예보까지 알 수 있다. 이제 뉴스 끝까지 안 기다려도 된다. (←내가 미련했던 것뿐···.)‘아침 브리핑’을 들을 수도 있다. 가상비서에 브리핑에, 이거 왠지 대기업 회장이라도 된 느낌. 브리핑은 모닝콜과 함께 해당일의 주요 일정과 뉴스를 알려준다. 시간, 세계시간, 달력, 환율, 주식, 간단한 교통정보도  물어볼 수 있다.네이버가 제공한 웨이브 사용 예시는 이런 것들이다. 20만원이 달러로 얼마야? 비밀의 숲에 누구 나와? 고구마 칼로리가 얼마야? 효리네민박에 나왔던 노래 들려줘 최신 영화 순위 알려줘 네이버 주가 얼마야 내일 비와?용례만 봐도 왠지 네이버 같다. ‘모든 보이스 인공지능 서비스들은 자신을 낳은 테크 기업의 정체성을 닮았다.(p.62, 『보이스 퍼스트 패러다임 : 슈퍼 플랫폼을 선점하라』)’던데, 그 말마따나 네이버는 자신들이 잘하는 검색과 지식 정보를 내세웠다.한국은 ‘검색=초록창’ 공식이 익숙하다웨이브는 네이버 검색 정보를 활용할 수 있다. 그러나 아직까지 네이버가 활용 예시로 든 건 연예인 이름을 묻거나 한라산의 높이를 묻는 것들이다. 내일 비가 오냐고 물으면 강수량을 답해주지만, ""내일 우산 갖고 가야 돼?""라고 하면 못 알아듣는다. 단순하고 직관적인 질문만 이해한다.하지만 지식in, 블로그, 백과 등 네이버가 보유한 데이터를 바탕으로 대답을 구성할 것이라고 하니 잠재력은 있다. 네이버DB가 특히 한국 관련 정보에 특화되어 있다는 걸 감안한다면 더더욱. 그리고 AI는 결국 인간이 데이터를 쌓을수록 똑똑해지는 법이니 얼마 쓰이지도 않은 녀석에게 지금 당장 '스마트함'을 요구하는 것도 좀 무리다. 뉴스를 들려 달라고 하면 YTN뉴스가 재생된다. 다른 언론사의 뉴스는 제공하지 않는다. 또 웨이브는 정치, 경제, 사회, 문화, 스포츠, 과학 분야는 알려주지만 IT뉴스는 제공하고 있지 않다. 웨이브에 대한 뉴스를 웨이브는 알 수 없다.웨이브가 필요한 이유 : 1. 편하다 2. 편하다 3. 편하다“샐리야, 3분 뒤에 ‘라면 다 끓었다’고 알려줘”집에서 가장 잘 써먹은 기능은 알람 기능이다. 웨이브가 있으면 굳이 스마트폰을 열고 앱을 굳이 들어가서 숫자를 기입해 타이머를 설정할 필요가 없다. 언제 누구에게 연락해야 하는지, 끓고 있는 찌개를 언제 뒤적거리러 가야 하는지. 이런 사소한 일을 알려준다.엄마는 이런 것도 귀찮으면 어떻게 살아가냐고 묻지만, 난 귀찮다. 자잘한 검색이나 설정은 음성으로 지시하는 편이 더 직관적이고 빠르다. IT기업들이 음성인식 비서에 공을 들이는 것도 같은 이유다.말로 하는 게 더 편하니까!        가족 모임이 있던 일요일 오후. 어머니도 웨이브를 쓰기 시작했다. “5분 후에 삼촌한테 전화하라고 좀 알려줘”라고 말하자 정확히 5분 후 알려주곤 “삼촌한테 전화하기, 잊지 마세요!”라고 당부까지 했다. 부모님은 스마트폰 문법보다 음성인식 AI가 훨씬 편하다고 칭찬했다.그렇게 주말 내 써본 결과 집에서 주로 생활하는 사람들에게 스마트 스피커는 괜찮은 옵션이더라.    이불 밖은 위험하다.이불 밖은 위험하다.  일단 설거지를 하거나 빨래를 널고 갤 때, 그러니까 가사노동 시 유용하다. 스마트 스피커가 뭔 대수냐, 생각했는데 설거지를 하다가 고무장갑을 벗지 않고도 “샐리야, 아이유 밤편지 틀어줘”라고 하자 “이 밤ㅡ그 날의ㅡ”하며 아이유의 감미로운 목소리가 들려왔을 때 처음으로 웨이브의 필요성을 느꼈다.    사심 듬뿍. 아이유(IU) 신보 나왔습니다. 사심 듬뿍. 아이유(IU) 신보 나왔습니다.   문제는 내가 멜론 가입자라는 사실. 혹 당신이 네이버 뮤직 가입자라면 1만9천여 곡을 자유롭게 들을 수 있을 것이다. 음악을 듣다가 질문하면 볼륨을 낮추고 대답한 뒤 다시 음악을 틀어준다.    난 멜론 유저다.난 멜론 유저다.  잠깐 딴 소리지만 우리 집 싱크대에는 발이 닿는 쪽에 물을 틀고 잠그는 터치 바(?)같은 게 있다. 이거 상당히 유용하다. 설거지를 하다 발로 툭 치면 물이 끊긴다. 고무장갑을 벗지 않아도 물을 조절할 수 있는데 처음에는 잘 몰랐지만 써보니 이 터치 바가 없는 곳이 너무 불편한 것이다. 아직 다른 집에서 우리 집 같은 싱크대를 본 적이 없는데 이는 매우 가슴 아픈 일이다. 세제로 열심히 거품을 내다 다시 고무장갑을 빼고 물을 틀고 고무장갑을 끼고 다시 설거지를 해야 한다니. 발로 톡톡 차면 되는 것을.요는 이거다. 없을 땐 모른다. 하지만 편해지는 순간 그 이전으로 다시 돌아가기 어려워진다는 것.그리고 또 하나.“샐리야, 요즘 인기 있는 동요 들려줘!”아이가 있는 집이라면 영어로 대화하는 기능이나 동요·동화 듣기 서비스가 유용하게 쓰일 수 있다. 영어 회화 기능은  이경은 기자가 테스트해봤는데, 웨이브는 주로 질문을 던진다. 말을 유도하게끔 하는데 맥락도 기억하는 편이고 상황별 대화를 할 수 있어 간단한 교육용으로는 나쁘지 않다. 간단한 일어/중국어/영어 번역도 해준다.어릴 때 몬테소리 테이프로 동화를 듣고 자랐는데 세상이 돌고돌아 다시 청취의 시대로 흘러온 모양이다. 우리보다 좀더 빨리 스마트 스피커를 쓰고 있는 미국에서는 교육, 게임 콘텐츠가 자주 쓰인다고 하니 네이버의 동요, 동화 등  풍부한 ‘키즈’ 대상 콘텐츠 기반 서비스는 쓸만 할 것이다.(게다가 블루투스를 통해 내 방에서 클로바 앱을 열고 ""동생, 물 좀 갖다 주라""하면 웨이브에서 내 목소리가 튀어나온다. 다용도로 써먹기 좋다.)웨이브가 필요없는 이유 : 백문이불여일견이제 좀 투덜거려 보겠다. 보이지 않는 것에 좀 익숙한가? 적어도 나는 보는 것에 더 익숙하다. 시각 정보가 제공되지 않는 건 매우 불편한 경험이었다.예를 들어보자. 여러 개 메모가 있으면 웨이브는 순차적으로 알려준다. “총 5개의 메모가 있습니다. 첫번째, 내일 오후에 코엑스. 두번째, 세계로마트에서 5시에 장보기···”마지막 메모를 듣기 위해 기다리고 있자니 속이 터진다. 고혈압이 있다면 스마트 스피커 구입은 나중으로 미룹시다.저 멀리서도 목소리 인식 가능.여튼 눈으로 슥 훑는다면 1초 안에 체크할 수 있는 것들을 줄줄이 듣고 있어야 한다. 메모하고 30초가 지난 뒤에 방금 한 메모를 취소하려면 클로버 앱에 들어가서 해야 한다. 취소를 위해 메모 순서를 기억할 수도 없는 노릇이다.네이버에서 평소에 주로 하던 것들은 뉴스 읽기, 그때그때 궁금한 것 검색, 길찾기, 마음에 드는 가게의 메뉴판과 음식 사진 보기 정도다.“장충동 맛집 알려줘”라고 하자 웨이브가 “장충동 맛집으로는 평안도 족발집, 평양냉면을 파는 평양면옥 등이 있어요!”라고 답했다. 그리곤 ""더 많은 정보는 네이버 클로바 앱에서 확인하세요!""라고도. 길찾기도 마찬가지다. DDP가 어디에 있냐고 물으면 대답하지만 더 많은 정보는 클로바 앱에 있다. 메모도 클로바 앱으로 볼 수 있다.그냥 클로바 앱을 쓰면 될 일이다.음성인식 AI는 사용자가 원하는 것을 정확하게 알 정도로 데이터를 차곡차곡 상세하게 쌓아두거나 사용자가 필요한 것을 정확하게 말하지 않는 한 시각 정보가 제한돼 매우 답답하다. (그래서 아마존은 화면이 탑재된 '에코 쇼'를 내놨다. 요리법을 물어보면 요리 영상을 보여준다.)또 웨이브가 제공하는 검색 결과를 믿을 수 있을지도 모르겠다. 맛집을 묻고 대답을 줬지만 무슨 기준으로 상위 몇 개 집을 택하는지 궁금해졌다. 이에 네이버 관계자는 사용자의 니즈 등에 따라 검색 결과는 고정된 것 없이 계속 바뀐다고 했지만 검색 결과 상위에 잡히는 정보를 소개하지 않을까? 웨이브만 믿고 안내하는 대로 가기만 하면 되는 걸까?또 하나. 아직 샐리야는 모르는 게 너무 많다. “잘 모르겠어요.” “샐리야, 너 바보야?”“못 들은 걸로 할게요.”아직은 배우는 중라인주식회사 마스다 준 CSMO는 “웨이브를 시작으로 AI 플랫폼 클로바를 일상 생활 곳곳에서 체험할 수 있도록 할 것”이며 “한정된 기능만을 우선 선보이게 되었지만, 웨이브를 통해 음성 인식을 활용한 새로운 체험을 할 수 있을 것”이라고 말했었다.그렇다. 웨이브는 대놓고 한정된 기능으로 나왔다.           네이버는 쇼핑, 광고, 콘텐츠 등 다양한 콘텐츠를 가지고 있다. 네이버 페이도 꽤 널리 쓰이고 있고, 자율주행에도 관심을 기울이고 있다. AI 스피커를 활용할 수 있는 범위가 넓다.하지만 한계도 느껴진다. 지식 기반 콘텐츠는 유용하고 재밌지만 아직 네이버만의 강점을 살리진 못했다. 네이버가 강점으로 가지고 있는 ‘맛집 검색’이나 블로그 활용, 길찾기도 시각적 정보가 좀더 필요할 수 있다. 또 네이버는 영어회화가 강점이라고 했는데 구글 어시스턴트가 최근 한국어 지원을 시작했다는 걸 감안한다면 그렇게 큰 메리트가 될 수 있을지는 모르겠다. 게다가 카카오 미니는 무려 라이언을 달고 나왔다. 사실 이건 반칙 수준. 그러니 정식으로 출시할 거라면 웨이브에도 샐리를 달아 달라.뭐, 그래도 괜찮은 건 아직 네이버는 클로바 앱이 AI 비서로서 어느 정도의 사용성을 가지고 있는지 테스트 중이라는 것. 스마트폰과 스피커는 또 다르다. 사람들은 유사한 서비스라도 사용하는 기기에 따라 다르게 쓴다. 네이버가 일단 네이버 뮤직과 묶어서 웨이브를 ‘배포’한 이유다. 지금은 스피커 사용 테스트 기간인 셈.네이버는 웨이브 2차 프로모션을 통해 약 4천 대를 배포했다. 1차 프로모션에서도 비슷한 수의 웨이브가 제공됐다. 꽤 많은 숫자다. 사람들이 클로바 앱을 쓰면 쓸수록, 웨이브에게 무언가를 요구할수록 웨이브의 '샐리야'가 가야 할 길도 정해질 것이다. 이제 막 길이 닦였다.        덧. 아침마다 샐리야를 부르던 우리 집이 조용해졌다. 웨이브를 귀여워하던 부모님은 내가 웨이브를 들고 나가자 ""안녕 샐리야""라고 작별인사를 건넸다. 우리집에서 웨이브는 어쩐지 반려봇에 가까웠다. 식구들은 아마 앞으로도 웨이브라는 이름은 모르고 '샐리야'만 떠올릴 것 같다.김인경 기자(shippo@bloter.net)[저작권자 (주)블로터앤미디어, 저작권자를 명기하고 내용을 변경하지 않으며, 비상업적으로 이용하는 조건아래 재배포 가능합니다.]"
