name,ratings,date,helpful vote,comment
경기도보안관,5,2019년 5월 10일,0,한가지 물어볼사항이 있는데요 kt간편로그인에 등록된 아이디가 있는데 제가 kt간편로그인에 등록된 아이디를 삭제하고 소셜로그인을하는데 계속 kt간편로그인에 설정되있는 아이디가 계속 남아있습니다 kt간편로그인에 등록되있는 아이디를 kt기가지니앱에서 삭제할수없나요?
이영희,3,2019년 5월 9일,0,에어컨 티비 켤때만 편한듭 솔직히 잘 못알아들어요. 그리고 문안인사 설정취소했는데도 계속나오곸ㅋㅋ 강제 문안인사... 시간대도 설정대로 안나오고... 아침문안인사 11시넘어서 하기있나여ㅋㅋㅋ 거의 뭐 지니는 백수삶인듯😏
이름없음,2,2019년 5월 10일,2,기가지니 블루투스연결은 안되나요? 블루투스 연결하려하면 기기설정을 확인하라고뜨고 연결이 안되네요 결국 지니뮤직만 들을수있는데 솔직히 lte기능말고는 무쓸모입니다.
Sherliss Y,2,2019년 5월 12일,0,업데이트후 앱 우측하단에 음성명령을 텍스트로 써서 하는 기능이 사라진거같은데 왜 없앤건가요?? 편하게잘쓰고있었는데;
junes lee,4,2019년 4월 12일,6,"훌륭합니다.다만 문안인사받기 가능을 켜두는데, 사용자가많아 서버접속이 늦어 그런지, 저녁 7~9시가 아니라 23시넘어 문안인사가 옵니다. 어떻게하면 제 시간에 받을수있죠?"
이대근,1,2019년 5월 10일,0,티비켜고 끄는용도뿐 다른기능은 못쓰는 비싼기계 약정있어서 취소도 못하고 필요악입니다. 돈아까워요.
양서연,1,2019년 5월 8일,0,지니를 몇번을 불러도 인식이안되요 바로 코앞까지 가서 지니야! 하고불러야 되는데 원래이런가요
박준혁,2,2019년 4월 28일,10,"기가지니가 음성인식을 제대로 못하는 경우가 많아서 이 어플을 다운 받았는데, ""기가지니에서 지원하는 명령어라 기기를 향해 말씀해주세요"" 라고 하네요 ㅠ"
김진욱,3,2019년 4월 21일,2,발전 좀 되었으면 하는 바람에 적습니다. 다른건 모르겠구요 노래 검색 명령어를 똑바로 못 알아들어요 담당자분께서도 해보시면 알꺼에요 예를 들어 잔나비의 나의기쁨나의노래 들려줘 라고한다면 티비상에 내 명령어를 똑바로 나타내더라도 재생은 잔나비의 다른 노래를 틉니다 이리저리 음성인식을 시도해보더라도 명령어를 인식했음에도 다른 노래를 틉니다 그래서 기가지니 앱자체에서 그노래를 찾아들어보려고했는데 기가지니 상에서 검색을 똑바로 한다고하더라도 그 노래를 찾지 못합니다 결국에 내가 원하는 노래를 못 듣게되는거죠 그럴바엔 다른 노래어플으로 블루...전체 리뷰
김영진,4,2019년 3월 27일,20,tv끄기 타이머를 지니앱에서도 설정할수있게 해주세요 알람기능에 추가해주세요!!! 남편이 잘때 티비켜고자서 밤새 켜져있어요 매일 지니한테 타이머설정하려니 힘드네요
박제상,3,2019년 5월 5일,0,업데이트한후 기가지니앱을통한 지니뮤직 음악검색기능이 사라졋습니다 왜이러죠
이지성,5,2019년 5월 5일,0,pin번호 인증하는데 최초관리자가 뭔지 몰라서 이증을 못하고있어요 도와주세요
이정민,1,2019년 3월 6일,2,무엇이든 물어보세요 때문에 3번이나 빠져나가서 새로 입력했네요. 도움을 주는게 아니라 열받게 함. 여기저기 따라다니면서
전영진,1,2019년 4월 27일,0,왜 앱사용 도중에 자꾸 멈추거나 무한로딩이 뜨죠? 강제 종료시켰다가 다시들어가면 되긴하는데 자꾸이러니 굉장히 불편하네요
김상오,3,2019년 4월 30일,0,진짜 말귀못알아먹는데 첨에나 신기해서 사용해보는거지 나중에는 짜증나서 사용안하게됩니다 음성인식 개선없는한 기가지니는 성공못합니다
HyunSeung Lee,3,2019년 5월 1일,0,권한보소... 진짜 이렇게나 많이 필요한것인가
Google 사용자,1,2019년 4월 1일,1,지니업데이트한뒤로 화면이 깜빡깜빡 거립니다
김민수,4,2019년 4월 8일,1,프로축구는 언제 지원하나요?
Hojoon Yoo,1,2019년 3월 15일,1,부르면 10번에 3번은 못 들은 척....
Google 사용자,2,2019년 3월 6일,0,폰앱으로 실행하는 것 자체가 딜레이 되는데다 자꾸 꺼지는 현상이 앱 깔고 지금까지 그대로임ㅎ;;
Anthony Jo,1,2019년 5월 8일,0,갤10 최신os 지니뮤직 메뉴입장시 앱튕김
Aiden Ko,1,2019년 3월 6일,0,남자지니도 넣어주세요. 기가지니 부를 때 승헌쓰처럼 날카롭게 부르고 있는 내 자신을 발견...
조광민,1,2019년 4월 21일,0,로그인이 안됩니다 카카오계정 로그인메시지는 오는데 앱자체는 로그인화면만 뜰뿐 접속이안되요
부기우기,2,2019년 1월 11일,10,음악 검색 기능 좀 만들어 주세요 너무 불편해요. 노래 반주만 들으려 하니까 듣지를 못하겠네. 음성 인식으로는 알아 듣지도 못하고 답답해요.
김용,1,2019년 3월 7일,13,기가지니lte라우터기능 변경되게해줘요 왜 접속이안됨
Google 사용자,1,2019년 1월 17일,2,기가지니 상태가 이상해졌는데 뭐가 문제인지 잘 모르겠어요 어느순간 기가지니 어플로 들어가서 연결하라는데 뭘 어떻게 해야할지 모르겠네요 계속 로그인 해봐도 아무것도 안되고 이걸 팔아야하는건지 잘 모르겠어요
정지혜,2,2018년 12월 28일,14,리뷰는 보시는거죠?잘못알아듣고 핸드폰찾아달라면 왜 알람이 안울리고 찾고나서 핸드폰만지면 그제서야 알람이 오는거에요? 그리고 왜 애들목소리는 못알아들을까요
슈리땅,4,2019년 1월 17일,1,얘가.. 노래 끄라고 했는데.. 자꾸 에러를 일으키고 앱을 종료시키네요.. 이것좀 빨리 고쳐주세요
김규백,1,2019년 2월 17일,3,앱을 켤 때마다 100번으로 문의하라는 메세지가 뜹니다. 너무 불편합니다.
퍼플문,3,2019년 2월 3일,38,기가지니셋탑박스 유투브 업글좀 해주시기바랍니다 기존 셋탑박스 유투브앱 기본사양과는다르게 모바일 앱접속으로 인식하는지 해상도가 매우구립니다
박우근,1,2019년 1월 26일,9,"업데이트했더니 지니랑 앱이 연동이 안됩니다. 음성 명령은 되는데 앱이랑 싱크가 안됩니다, 지니뮤직이 앱으로 틀어지지않고 나오는노래가 표시도 안됩니다, 기존 우리집 계정을 선택하려고 해도 선택 불가로 회색으로 뜹니다"
Google 사용자,1,2019년 1월 29일,4,쓸데없는 것만 업뎃하더니 맛탱이가 가고 댓글에 적은 수많은 불편은 업뎃을 하지 않는 이유가 뭔가요 일단 업뎃하더니 연동이 안됌 그리고 노래 인공지능도 발라드 틀어달라고 했더니 무슨 7080 트로트 노래를 틀음;;;;;이분들은 월급을 안받고 일하는 거죠?? 받음 노양심인거 아시죠???????? 그리고 초기부터 불편했던게 노래 검색도 안되고 이미지 앨범 누르지도 못하고 가사도 못보게 되어있음 이거 다른사람들도 꾸준히 댓글에 문의했던 건데 완전 무시해버림 그럴거면 그 월급 기부해주세요 다른 후원단체에...;;
말짱19,3,2019년 3월 1일,1,다른건 다 좋은데 회원가입할때 폰으로 하는데 옆에서 무엇이는 물어보세요라는 알짱거리는 아이콘 눌려서 몇번이고 튕겼어요 회원가입관련 도움창도 아닌데 왜 하필 회원가입 하는 곳에 알짱 거리게 만들었나요ㅋㅋ?
Google 사용자,1,2019년 1월 25일,8,별 하나도 아까움... 혼수가전 사면서 TV 할인 해준다는 말에 KT를 선택했건만... 약정만 아니면 당장 끊어버리고 싶을정도.. 할인이고 뭐고 sk를 했어야 했는데...
송지헌,5,2019년 2월 12일,1,저희집에 기가지니 있어요 이앱은 사용이 좋이보여요 근데 업데이트는 못했어요 ㅠㅠ
이승보,2,2019년 3월 7일,1,날씨는 실시간 정보 업데이트가 안됨
Jeongyoon Baek,1,2019년 3월 15일,0,좀 혼자서 말하지좀 않았으면
이민지,1,2019년 1월 26일,5,미친 별점 하나도 아까움 미친 니들은 이걸 사용하라고 만들었냐 노래가 나오지도 않고 개쓰잘것없는 앱임
박종호,5,2019년 4월 14일,1,날씨 사용하는데 너무 좋아요.
강충석,5,2019년 5월 4일,0,음악듣는덴 최고
이동훈,1,2019년 2월 12일,2,지니뮤직 메뉴로 들어가면 앱이 죽습니다 19.2.12 재설치해도 그러네요
조현호,1,2019년 3월 8일,0,왜 카톡 로그인이안돼
Jinsoo Park,1,2019년 3월 1일,1,카카오로 대표설정해서 가입해놨는데 카카오 로그인이안되네요? 어쩌란건지. 이런건 빠른 수정 점 하시죠?
잼애니,1,2019년 1월 27일,2,카카오로그인이안되네요????? 갑자기 조치바랍니다..
sin jung nam,1,2019년 4월 20일,2,카톡연동 로긴 좀 빨리 되게 하라고
짱구덕후,5,2019년 5월 3일,0,편리해요
김우길,4,2019년 5월 6일,0,쓸만한 지니네요
스타라프,1,2018년 12월 21일,16,기가지니LTE는 연결도 안되는데 왜팔아먹었냐 오류수정 안하냐
레이tv,5,2019년 5월 2일,0,좋아요 아리아보다 더 말잘듣고
