,name,ratings,date,helpful vote,comment,preprocessed_comment,pos_comment
0,김헌민,5,2019년 4월 25일,0,"국내 최고 사이트 네이버의 인공지능 도전에 박수 드립니다. 좀더 나아가서 ""네이버 내비게이션"" 도 작동 시키고. 모든 휴대폰 기종 및 통신사 휴대폰에도, 앱을 다운 받으면 음성인식 으로 휴대폰을 컨트롤 할수 있게, 발전 했으면 합니다.",국내 최고 사이트 네이버의 인공지능 도전에 박수 드립니다. 좀더 나아가서 네이버 내비게이션 도 작동 시키고. 모든 휴대폰 기종 및 통신사 휴대폰에도 앱을 다운 받으면 음성인식 으로 휴대폰을 컨트롤 할수 있게 발전 했으면 합니다.,국내 최고 사이트 네이버 의 인공지능 도전 에 박수 드리 ㅂ니다 . 좀 더 나아가 아서 네이버 내비게이션 도 작동 시키 고 . 모든 휴대폰 기종 및 통신사 휴대폰 에 도 앱을 다운 받 으면 음성인식 으로 휴대폰 을 컨트롤 하 ㄹ 수 있 게 발전 하 았 으면 하 ㅂ니다 .
1,김민성,3,2019년 4월 20일,0,"18일 업데이트 이후 리모콘 조작시(티비, 셋탑) 장치를 인식하지 못하는 경우가 종종 발생하네요. 기기 재등록을 해도 마찬가지고 두세번 동일한 명령을 내리면 동작합니다. 수정 필요할 듯 합니다.",18일 업데이트 이후 리모콘 조작시 티비 셋탑 장치를 인식하지 못하는 경우가 종종 발생하네요. 기기 재등록을 해도 마찬가지고 두세번 동일한 명령을 내리면 동작합니다. 수정 필요할 듯 합니다.,18 일 업데이트 이후 리모콘 조작시 티비 셋탑 장치 를 인식 하지 못하 는 경우 가 종종 발생 하 네요 . 기기 재등록 을 하 아도 마찬가지 이 고 두세번 동일 하 ㄴ 명령 을 내리 면 동작 하 ㅂ니다 . 수정 필요 하 ㄹ 듯 하 ㅂ니다 .
2,정진심,1,2019년 4월 30일,2,동의가 안눌러져요ㅠ 왜이런가요? 뭐가 잘못된건가요? 4월23일 업데이트 되었다는데 왜안되는거죠? 동의 자체가 안되면 클로바 사용도 안되고 어떻게 하라는건지 제품 반품할까요?,동의가 안눌러져요ㅠ 왜이런가요? 뭐가 잘못된건가요? 4월23일 업데이트 되었다는데 왜안되는거죠? 동의 자체가 안되면 클로바 사용도 안되고 어떻게 하라는건지 제품 반품할까요?,동의 가 안눌러져요ㅠ 왜 이렇 ㄴ가요 ? 뭐 가 잘못 되 ㄴ 건가요 ? 4 월 23 일 업데이트 되 었 다는데 왜 안 되 는 거 죠 ? 동의 자체 가 안 되 면 클로바 사용 도 안 되 고 어떻 게 하 라는 건지 제품 반품 하 ㄹ까요 ?
3,민석김,1,2019년 5월 3일,1,"취침 예약 음악 종료하면 ""예약된 시간이 되었어요 재생을 중단할게요"" 라고 하면서 끄지 말고 그냥 꺼줬으면 좋겠어요 그 멘트 때문에 잠에 깨요. 카카오에서 갈아 탔는데 그게 제일 불편해요 몇 번을 문의 해도 안 들어 주시네요.",취침 예약 음악 종료하면 예약된 시간이 되었어요 재생을 중단할게요 라고 하면서 끄지 말고 그냥 꺼줬으면 좋겠어요 그 멘트 때문에 잠에 깨요. 카카오에서 갈아 탔는데 그게 제일 불편해요 몇 번을 문의 해도 안 들어 주시네요.,취침 예약 음악 종료 하 면 예약 되 ㄴ 시간 이 되 었 어요 재생 을 중단 하 ㄹ게요 라고 하 면서 끄 지 말 고 그냥 끄 어 주 었 으면 좋 겠 어요 그 멘트 때문 에 잠 에 깨 어요 . 카카오 에서 갈 아 타 았 는데 그 게 제일 불편 하 아요 몇 번을 문의 하 아도 안 들 어 주 시 네요 .
4,DY Kim,3,2019년 4월 21일,1,아이폰에서도 써 보고 갤럭시에서도 써보는데 안정성이 특히 떨어지네요 저는 주로 음악을 많이 듣는데 폰으로 클로바의 음악을 바꿀 수 있는데 어느새 보면 둘의 노래가 다릅니다 클로바앱이 버벅 거려서 한두번 다시 시작한 것이 아니네요 이건 고질적인 문제 같습니다 그리고 음악의 모음 다양하면 좋겠습니다 매번 비슷한 모음으로 되어있습니다 그 모음속에 있는 노래도 매번 비슷합니다 새로운 노래 많이 소개해주면 좋겠습니다 그리고 옛날보다 그 모음 속의 노래가 늘어난 것 같은데 계속 무한 으로 추가가 되면 좋겠습니다 계속 넘기다 보면 노래 다 듣습...전체 리뷰,아이폰에서도 써 보고 갤럭시에서도 써보는데 안정성이 특히 떨어지네요 저는 주로 음악을 많이 듣는데 폰으로 클로바의 음악을 바꿀 수 있는데 어느새 보면 둘의 노래가 다릅니다 클로바앱이 버벅 거려서 한두번 다시 시작한 것이 아니네요 이건 고질적인 문제 같습니다 그리고 음악의 모음 다양하면 좋겠습니다 매번 비슷한 모음으로 되어있습니다 그 모음속에 있는 노래도 매번 비슷합니다 새로운 노래 많이 소개해주면 좋겠습니다 그리고 옛날보다 그 모음 속의 노래가 늘어난 것 같은데 계속 무한 으로 추가가 되면 좋겠습니다 계속 넘기다 보면 노래 다 듣습...전체 리뷰,아이폰 에서 도 쓰 어 보 고 갤럭시 에서 도 쓰 어 보 는데 안정 성 이 특히 떨어지 네요 저 는 주로 음악 을 많이 듣 는데 폰 으로 클로바 의 음악 을 바꾸 ㄹ 수 있 는데 어느새 보 면 둘 의 노래 가 다르 ㅂ니다 클로바앱이 버벅 걸 려 서 한두번 다시 시작 하 ㄴ 것 이 아니 네요 이건 고질 적 이 ㄴ 문제 같 습니다 그리고 음악 의 모음 다양 하 면 좋 겠 습니다 매번 비슷 하 ㄴ 모음으 로 되 어 있 습니다 그 모음속 에 있 는 노래 도 매번 비슷 하 ㅂ니다 새롭 ㄴ 노래 많이 소개 해주 이 면 좋 겠 습니다 그리고 옛날 보다 그 모음 속 의 노래 가 늘어나 ㄴ 것 같 은데 계속 무한 으로 추가 가 되 면 좋 겠 습니다 계속 넘기 다 보 면 노래 다 듣습...전체 리뷰
5,바구진,1,2019년 4월 21일,3,앱을 깔고 이용약과 동의를 누를려는데 계속 안눌러지네요ㅠㅠㅠㅠ 그냥 아예 다음단계로 안넘어가요ㅠㅠ 왜 이러죠?? 이용약과 동의 자체가 안돼요ㅠㅠ,앱을 깔고 이용약과 동의를 누를려는데 계속 안눌러지네요ㅠㅠㅠㅠ 그냥 아예 다음단계로 안넘어가요ㅠㅠ 왜 이러죠?? 이용약과 동의 자체가 안돼요ㅠㅠ,앱을 깔 고 이용약 과 동의 를 누르 ㄹ려는 데 계속 안눌러지네요ㅠㅠㅠㅠ 그냥 아예 다음단계 로 안넘어가요ㅠㅠ 왜 이렇 죠 ? ? 이용약 과 동의 자체 가 안돼요ㅠㅠ
6,심혜진,1,2019년 5월 6일,0,vibe 연동은 왜 안되는건가요 ㅡㅡ 이용권도 이용하고 스피커로 틀어달라고 해도 계속 네이버뮤직을 사용중이라고 연동이 안되네요 핸드폰 클로바어플에 말하면 핸드폰은 바이브에서 노래를 틀어주고 스피커는 네이버뮤직 이용중이라고 안된다하고 둘이 같은 의견에 이렇게 차이가 나네요 공지사항에 하란대로 다 했는데도 여러번 시도해도 똑같아서 짜증나 죽겠습니다 .... 이럴거면 그냥 블투스피커를 쓰지요..,vibe 연동은 왜 안되는건가요 ㅡㅡ 이용권도 이용하고 스피커로 틀어달라고 해도 계속 네이버뮤직을 사용중이라고 연동이 안되네요 핸드폰 클로바어플에 말하면 핸드폰은 바이브에서 노래를 틀어주고 스피커는 네이버뮤직 이용중이라고 안된다하고 둘이 같은 의견에 이렇게 차이가 나네요 공지사항에 하란대로 다 했는데도 여러번 시도해도 똑같아서 짜증나 죽겠습니다 이럴거면 그냥 블투스피커를 쓰지요..,vibe 연동 은 왜 안 되 는 건가요 ㅡㅡ 이용권 도 이용 하 고 스피커 로 틀 어 달 라고 하 아도 계속 네이버뮤직 을 사용중 이 라고 연동 이 안 되 네요 핸드폰 클로바어플 에 말 하 면 핸드폰 은 바이브 에서 노래 를 틀 어 주 고 스피커 는 네이버뮤직 이용중 이 라고 안 되 ㄴ다 하 고 둘 이 같 은 의견 에 이렇 게 차이 가 나 네요 공지사항 에 하란대 로 다 하 았 는데 도 여러번 시도 하 아도 똑같 아서 짜증나 죽 겠 습니다 이렇 ㄹ 거 이 면 그냥 블투스피커를 쓰 지요 . .
7,TV쩡,1,2019년 5월 1일,2,웨이브 스피커 명령어가 안먹습니다. 음성전송도 안됨. 기기상태는 연결 됬다고 나오는데. 몆번을 앱새로설치 공장초기화해도 같은 증상입니다,웨이브 스피커 명령어가 안먹습니다. 음성전송도 안됨. 기기상태는 연결 됬다고 나오는데. 몆번을 앱새로설치 공장초기화해도 같은 증상입니다,웨이브 스피커 명령어 가 안먹습니 다 . 음성전송 도 안 되 ㅁ . 기기상태 는 연결 됬다고 나오 는데 . 몆번을 앱새로설치 공장초기화해 도 같 은 증상 이 ㅂ니다
8,Park Jiyoung,2,2019년 4월 27일,0,업그레이드 하고나서 명령어 인식이 안되는데 왜 그럴까요?? 공장초기화까지 다해도 아예 못 알아듣고 같은 대답만 합니다.,업그레이드 하고나서 명령어 인식이 안되는데 왜 그럴까요?? 공장초기화까지 다해도 아예 못 알아듣고 같은 대답만 합니다.,업그레이드 하고 나서 명령어 인식 이 안 되 는데 왜 그렇 ㄹ까요 ? ? 공장초기화 까지 다 하 아도 아예 못 알아듣 고 같 은 대답 만 하 ㅂ니다 .
9,오현진,5,2019년 4월 19일,0,재미있같아요 ㅋㅋ제꺼 코드랑 스피커 충전기선이랑 제스마트폰 코드휘어지거든요 오랜되나봐요그래서요 스피커 충전코드랑 선망가져가서 쓰고있었거든요 선이 오래되서 다른걸로 선만사서 쓰고있어요알람은안된네요,재미있같아요 ㅋㅋ제꺼 코드랑 스피커 충전기선이랑 제스마트폰 코드휘어지거든요 오랜되나봐요그래서요 스피커 충전코드랑 선망가져가서 쓰고있었거든요 선이 오래되서 다른걸로 선만사서 쓰고있어요알람은안된네요,재미있같아요 ㅋㅋ제꺼 코드 랑 스피커 충전기선 이랑 제스마트폰 코드 휘어지 거든요 오래 ㄴ 되 나 보 아요 그러 어서요 스피커 충전코드 랑 선망 가져가 아서 쓰 고 있 었 거든요 선 이 오래 되 서 다른 것 로 서 ㄴ 만 사서 쓰 고 있 어요 알람 은 안 되 ㄴ 네요
